1_hsa.miR.3677.3p,2_ALDH18A1.5832,2_ALDH1A1.216,2_ALS2CL.259173,2_AOAH.313,2_APCDD1L.164284,2_BCL2L14.79370,2_C11orf52.91894,2_C8G.733,2_CCR2.729230,2_CDH2.1000,2_CDYL.9425,2_CFB.629,2_CLDN23.137075,2_CTH.1491,2_CXorf21.80231,2_DAZAP2.9802,2_DBP.1628,2_DHH.50846,2_DHRS12.79758,2_EBI3.10148,2_FAM160A1.729830,2_FAM171A2.284069,2_FAM176A.84141,2_FAM92A1.137392,2_FNBP1L.54874,2_FUCA1.2517,2_GALNT12.79695,2_GCA.25801,2_GGPS1.9453,2_GIMAP5.55340,2_GIMAP8.155038,2_GLIS1.148979,2_GMEB1.10691,2_GPBAR1.151306,2_GPR114.221188,2_HDAC2.3066,2_HNRNPA3P1.10151,2_HOMER1.9456,2_HPN.3249,2_IKZF1.10320,2_INMT.11185,2_KRCC1.51315,2_KRT7.3855,2_LIMS2.55679,2_MARCH10.162333,2_MCHR2.84539,2_MEAF6.64769,2_MGC45800.90768,2_MGC87042.256227,2_MYO1F.4542,2_NDUFAF1.51103,2_NUDT13.25961,2_NUDT7.283927,2_P2RY6.5031,2_PIK3C2B.5287,2_PLA2G16.11145,2_PLCG2.5336,2_PLEKHO2.80301,2_POLR3GL.84265,2_PRF1.5551,2_RAET1E.135250,2_RARRES3.5920,2_RBMX.27316,2_RNF135.84282,2_SAMD9.54809,2_SBDS.51119,2_SCD.6319,2_SDR42E1.93517,2_SFRS11.9295,2_SH2D1B.117157,2_SLC24A4.123041,2_SLFN12L.342615,2_SQLE.6713,2_SSR1.6745,2_STAT6.6778,2_STOM.2040,2_STX11.8676,2_TARDBP.23435,2_TIMD4.91937,2_TIMM8A.1678,2_TINAGL1.64129,2_TMEFF1.8577,2_TMEM65.157378,2_TNFSF14.8740,2_TRIP4.9325,2_TSPAN6.7105,2_USP33.23032,2_WISP1.8840,2_WRNIP1.56897,2_ZNF385A.25946,2_ZNF396.252884,2_ZNHIT6.54680
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
