1_hsa.miR.106b.3p,1_hsa.miR.106b.5p,1_hsa.miR.1301.3p,1_hsa.miR.148b.5p,1_hsa.miR.15b.3p,1_hsa.miR.16.2.3p,1_hsa.miR.19b.3p,1_hsa.miR.20a.3p,1_hsa.miR.301a.3p,1_hsa.miR.301b,1_hsa.miR.3074.5p,1_hsa.miR.3605.3p,1_hsa.miR.3648,1_hsa.miR.3677.3p,1_hsa.miR.484,1_hsa.miR.7706,2_ADCY2.108,2_ALAD.210,2_AP2B1.163,2_B3GALT4.8705,2_BECN1.8678,2_C10orf116.10974,2_C11orf17.56672,2_C4orf10.317648,2_C6orf167.253714,2_C8orf42.157695,2_C9orf103.414328,2_CASQ2.845,2_CCDC41.51134,2_CCDC69.26112,2_CCNA2.890,2_CCNF.899,2_CDK1.983,2_CENPO.79172,2_COQ10B.80219,2_CSRP1.1465,2_DARC.2532,2_DEPDC1B.55789,2_DHH.50846,2_DLEC1.9940,2_DLGAP5.9787,2_DNA2.1763,2_DNAJC24.120526,2_DRG2.1819,2_E2F2.1870,2_EID1.23741,2_EXO1.9156,2_EYA4.2070,2_FASN.2194,2_FBXO42.54455,2_FMO2.2327,2_FNBP1.23048,2_GALNT12.79695,2_GIMAP7.168537,2_HMGXB3.22993,2_HNRNPR.10236,2_HOXC6.3223,2_HSPB2.3316,2_KCNK7.10089,2_KDM2B.84678,2_KIAA0748.9840,2_LIN7C.55327,2_MANSC1.54682,2_MRPS18C.51023,2_NAALADL1.10004,2_NASP.4678,2_NDUFAF1.51103,2_NFKBIL2.4796,2_NFYA.4800,2_PIF1.80119,2_PITX2.5308,2_PLCG1.5335,2_PLOD1.5351,2_PPAP2A.8611,2_PPP1R11.6992,2_PPP1R8.5511,2_PRKCDBP.112464,2_PRPF38A.84950,2_PTK7.5754,2_RAMP3.10268,2_RBM22.55696,2_RHOQ.23433,2_RNPEPL1.57140,2_S1PR4.8698,2_SDR42E1.93517,2_SELM.140606,2_SNAPC5.10302,2_SOAT2.8435,2_SRPK1.6732,2_ST6GALNAC1.55808,2_SUV39H2.79723,2_TARDBP.23435,2_TMEM48.55706,2_TMEM63B.55362,2_TPSAB1.7177,2_TRIM29.23650,2_TRIM61.391712,2_VWA5A.4013,2_ZNF146.7705
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
