0_age_at_initial_pathologic_diagnosis,1_hsa.miR.135b.5p,1_hsa.miR.15b.5p,1_hsa.miR.222.5p,1_hsa.miR.651.5p,1_hsa.miR.99b.5p,2_ABCA12.26154,2_AKR1C1.1645,2_ALG6.29929,2_ANAPC1.64682,2_ANG.283,2_AP1S3.130340,2_ARAP3.64411,2_ATR.545,2_B3GNT5.84002,2_BEX4.56271,2_BMP2.650,2_C22orf32.91689,2_C22orf36.388886,2_C7orf42.55069,2_CCDC18.343099,2_CHEK1.1111,2_CLNS1A.1207,2_COL29A1.256076,2_COL4A2.1284,2_CUBN.8029,2_DEPDC1.55635,2_DGCR14.8220,2_DGCR6L.85359,2_FBXO4.26272,2_GBP7.388646,2_GJC1.10052,2_GPR156.165829,2_GPX8.493869,2_GSTA1.2938,2_HGSNAT.138050,2_HILS1.373861,2_HIST1H2BH.8345,2_HIST2H3D.653604,2_HIST2H4A.8370,2_HNF1B.6928,2_HOXA5.3202,2_HSPB1.3315,2_IRX5.10265,2_ISM2.145501,2_KATNAL2.83473,2_KIF4A.24137,2_KLHL9.55958,2_LRIG1.26018,2_LSM1.27257,2_MEIS1.4211,2_NACA.4666,2_OSR2.116039,2_PCCA.5095,2_PDCD4.27250,2_PDSS1.23590,2_PLSCR1.5359,2_PRPF18.8559,2_PTGFRN.5738,2_PTRF.284119,2_RAD18.56852,2_RGPD4.285190,2_RNF146.81847,2_SFRS11.9295,2_SMOC1.64093,2_SNTG2.54221,2_SULF2.55959,2_TMEM194A.23306,2_TMX3.54495,2_TOB1.10140,2_TRAF5.7188,2_UBAC2.337867,2_UNG.7374,2_USP4.7375,2_WISP1.8840,2_WNT5B.81029,2_XRCC2.7516,2_ZFYVE27.118813,2_ZNF630.57232,2_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
