0_age_at_initial_pathologic_diagnosis,1_hsa.let.7e.5p,1_hsa.miR.10b.3p,1_hsa.miR.10b.5p,1_hsa.miR.148a.5p,1_hsa.miR.15b.5p,1_hsa.miR.16.5p,1_hsa.miR.196b.5p,1_hsa.miR.222.5p,1_hsa.miR.3157.3p,1_hsa.miR.520e,2_ART3.419,2_ASCC1.51008,2_C10orf114.399726,2_C12orf34.84915,2_C18orf32.497661,2_C6orf118.168090,2_CEACAM1.634,2_CRYL1.51084,2_CSMD3.114788,2_CUTC.51076,2_DCDC2.51473,2_DDIT4L.115265,2_DDOST.1650,2_EPHA2.1969,2_FAM110B.90362,2_FAM126A.84668,2_FBXO17.115290,2_FLNA.2316,2_GALNS.2588,2_GGT8P.645367,2_GMPR2.51292,2_GNAI1.2770,2_GPR1.2825,2_GPR139.124274,2_HOXD4.3233,2_IQGAP1.8826,2_ISL2.64843,2_ITGB3BP.23421,2_KDELR2.11014,2_KIAA0040.9674,2_KLRC2.3822,2_KREMEN1.83999,2_LATS2.26524,2_LOC100132215.100132215,2_LOC145837.145837,2_LRRK2.120892,2_MUCL1.118430,2_MYL12A.10627,2_NEIL3.55247,2_NTNG2.84628,2_OAT.4942,2_ODF2.4957,2_OR5K1.26339,2_OSMR.9180,2_OSR2.116039,2_PCDHGA12.26025,2_PLAUR.5329,2_PON1.5444,2_PTGFRN.5738,2_RPS24.6229,2_SARDH.1757,2_SCMH1.22955,2_SERP2.387923,2_SERPING1.710,2_SFRP2.6423,2_SGCD.6444,2_SGOL2.151246,2_SLC26A2.1836,2_SLC9A1.6548,2_SNX32.254122,2_SPRY1.10252,2_STAC.6769,2_SUFU.51684,2_SULF2.55959,2_TAPT1.202018,2_TEF.7008,2_TNFAIP6.7130,2_TNFRSF11B.4982,2_TPX2.22974,2_UBXN1.51035,2_UPF3A.65110,2_WEE1.7465,2_ZBTB38.253461,2_ZC3HAV1.56829,2_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
