0_BAI2,0_C10orf12,0_C22orf30,0_CKS1B,0_DEPDC1B,0_ESR1,0_FOXC1,0_FRMPD4,0_FYTTD1,0_GOLGA6L9,0_GPR137C,0_KCNK9,0_LOC646999,0_MLPH,0_MSH2,0_MTDH,0_PPOX,0_RAD21,0_SDC4,0_TRIM29
1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1
0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1
0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1
0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
