inner_cv_NB_bal_acc,inner_cv_root_leanness,train_NB_bal_acc,train_root_leanness,test_NB_bal_acc,test_root_leanness
,0.0,0.01654608803144141,0.0,0.061550332243048254,0.0
,0.0,0.007668203879203153,0.0,0.03765770480778304,0.0
,0.0,0.01258525441559191,0.0,0.046108732038677686,0.0
,0.0,0.012340206484235276,0.0,0.02526853851694293,0.0
,0.0,0.013282790469760488,0.0,0.03216789371903825,0.0
,0.0,0.014329294015225197,0.0,0.022618632345972785,0.0
,0.0,0.011517135309202033,0.0,0.03585253174295324,0.0
,0.0,0.012726467671831616,0.0,0.03482686219238157,0.0
,0.0,0.022609208991230225,0.0,0.04614676491896843,0.0
,0.0,0.01637772078709873,0.0,0.030653801000838258,0.0
,0.0,0.004314105037331664,0.0,0.011774340995390209,0.0
,0.0,0.0,0.0,0.0,0.0
