gen,0_age_at_initial_pathologic_diagnosis,0_race_WHITE,1_hsa.let.7e.3p,1_hsa.miR.103a.2.5p,1_hsa.miR.105.5p,1_hsa.miR.1197,1_hsa.miR.1262,1_hsa.miR.1269a,1_hsa.miR.1277.3p,1_hsa.miR.1307.3p,1_hsa.miR.130b.3p,1_hsa.miR.1343.3p,1_hsa.miR.16.5p,1_hsa.miR.188.5p,1_hsa.miR.18a.5p,1_hsa.miR.190b,1_hsa.miR.196b.5p,1_hsa.miR.20a.3p,1_hsa.miR.20a.5p,1_hsa.miR.219a.1.3p,1_hsa.miR.301a.3p,1_hsa.miR.301a.5p,1_hsa.miR.301b,1_hsa.miR.30c.5p,1_hsa.miR.3127.5p,1_hsa.miR.3154,1_hsa.miR.3170,1_hsa.miR.3200.3p,1_hsa.miR.32.5p,1_hsa.miR.337.3p,1_hsa.miR.342.5p,1_hsa.miR.3605.3p,1_hsa.miR.361.3p,1_hsa.miR.3615,1_hsa.miR.374a.5p,1_hsa.miR.374b.5p,1_hsa.miR.380.3p,1_hsa.miR.4449,1_hsa.miR.455.3p,1_hsa.miR.4662a.5p,1_hsa.miR.493.3p,1_hsa.miR.501.5p,1_hsa.miR.503.3p,1_hsa.miR.509.3p,1_hsa.miR.589.3p,1_hsa.miR.590.5p,1_hsa.miR.625.5p,1_hsa.miR.6511b.3p,1_hsa.miR.660.5p,1_hsa.miR.668.3p,1_hsa.miR.7.1.3p,1_hsa.miR.767.3p,1_hsa.miR.7706,1_hsa.miR.873.5p,1_hsa.miR.877.5p,1_hsa.miR.93.3p,1_hsa.miR.93.5p,1_hsa.miR.99b.3p,1_hsa.miR.520c.3p,2_..100134869,2_..653553,2_ABCD1.215,2_ABCD2.225,2_ABHD1.84696,2_ABTB1.80325,2_ACAT1.38,2_ACCS.84680,2_ACTG2.72,2_ACTL6B.51412,2_ACVR1.90,2_ADCK5.203054,2_ADCYAP1.116,2_ADIPOR1.51094,2_AFTPH.54812,2_AK2.204,2_AK7.122481,2_AKR7L.246181,2_ALAD.210,2_ALDH9A1.223,2_ALG11.440138,2_ALS2CL.259173,2_ALX4.60529,2_AMPD2.271,2_ANAPC5.51433,2_ANKRD13C.81573,2_ANKRD32.84250,2_ANTXR2.118429,2_AP2B1.163,2_AP3S2.10239,2_APEX1.328,2_APOBEC3D.140564,2_APOBEC3G.60489,2_APOC4.346,2_APOL2.23780,2_APOL3.80833,2_AQP1.358,2_ARFGEF1.10565,2_ARHGAP1.392,2_ARHGAP39.80728,2_ARSK.153642,2_ASB2.51676,2_ASPA.443,2_ATAD3A.55210,2_ATAD5.79915,2_ATG16L1.55054,2_ATP13A1.57130,2_ATP2A3.489,2_ATP8A1.10396,2_AUH.549,2_AZIN1.51582,2_B3GALT4.8705,2_B3GNT8.374907,2_BAAT.570,2_BAT1.7919,2_BBS5.129880,2_BCL7A.605,2_BECN1.8678,2_BEST2.54831,2_BLM.641,2_BLMH.642,2_BMX.660,2_BYSL.705,2_C10orf111.221060,2_C10orf116.10974,2_C11orf46.120534,2_C11orf51.25906,2_C12orf61.283416,2_C12orf75.387882,2_C14orf145.145508,2_C15orf21.283651,2_C15orf57.90416,2_C16orf73.254528,2_C17orf103.256302,2_C1orf112.55732,2_C1orf130.400746,2_C1orf150.148823,2_C1orf174.339448,2_C1orf186.440712,2_C1orf9.51430,2_C21orf56.84221,2_C21orf71.282566,2_C22orf46.79640,2_C6orf130.221443,2_C6orf155.79940,2_C6orf167.253714,2_C6orf52.347744,2_C7orf23.79161,2_C7orf31.136895,2_C7orf61.402573,2_C8orf39.55472,2_C9orf5.23731,2_C9orf78.51759,2_CA12.771,2_CA2.760,2_CAB39L.81617,2_CACHD1.57685,2_CACNB4.785,2_CALML4.91860,2_CALR.811,2_CAMK1D.57118,2_CAMK2G.818,2_CAPN5.726,2_CARD6.84674,2_CARTPT.9607,2_CASP10.843,2_CASP9.842,2_CAST.831,2_CBR4.84869,2_CBX2.84733,2_CBX7.23492,2_CCDC102A.92922,2_CCDC107.203260,2_CCDC122.160857,2_CCDC18.343099,2_CCDC83.220047,2_CCNB2.9133,2_CCNC.892,2_CCNDBP1.23582,2_CCR2.729230,2_CCT5.22948,2_CD151.977,2_CD244.51744,2_CD2.914,2_CD300LG.146894,2_CD55.1604,2_CD59.966,2_CDC25C.995,2_CDKN2AIPNL.91368,2_CDKN3.1033,2_CECR4.100130717,2_CELA3A.10136,2_CELA3B.23436,2_CELF2.10659,2_CENPI.2491,2_CENPO.79172,2_CEP68.23177,2_CHCHD10.400916,2_CHD4.1108,2_CHRNB3.1142,2_CHTF18.63922,2_CIR1.9541,2_CLDN23.137075,2_CLEC16A.23274,2_CLN6.54982,2_CMA1.1215,2_CNKSR3.154043,2_COL2A1.1280,2_COPS2.9318,2_COPZ2.51226,2_COQ3.51805,2_CPO.130749,2_CPSF1.29894,2_CRABP1.1381,2_CRCP.27297,2_CREG2.200407,2_CROCC.9696,2_CROCCL1.84809,2_CSE1L.1434,2_CSMD2.114784,2_CSRP1.1465,2_CTAGE9.643854,2_CTNNBIP1.56998,2_CTSG.1511,2_CXADRP3.440224,2_CXCR3.2833,2_CXCR6.10663,2_CXorf64.100130613,2_CYP20A1.57404,2_CYP26A1.1592,2_CYP2F1.1572,2_CYP2U1.113612,2_CYTH2.9266,2_DCAF8.50717,2_DDX18.8886,2_DEDD2.162989,2_DEM1.64789,2_DERL1.79139,2_DFFB.1677,2_DFNB31.25861,2_DFNB59.494513,2_DHH.50846,2_DHRS12.79758,2_DLGAP1.9229,2_DLGAP5.9787,2_DLX2.1746,2_DNAH8.1769,2_DNAJA1.3301,2_DNAJC16.23341,2_DOCK7.85440,2_DPF3.8110,2_DRG2.1819,2_DSCR9.257203,2_DTNA.1837,2_DTWD1.56986,2_DUSP3.1845,2_DYSF.8291,2_EBNA1BP2.10969,2_EBP.10682,2_ECT2.1894,2_EFEMP1.2202,2_EFHC1.114327,2_EFNA2.1943,2_EHBP1L1.254102,2_EID1.23741,2_EIF4EBP3.8637,2_EIF4G3.8672,2_ELAVL2.1993,2_ELL2.22936,2_ELOVL4.6785,2_ELSPBP1.64100,2_EML2.24139,2_EP400NL.347918,2_EPB41L1.2036,2_ERCC3.2071,2_ESRRA.2101,2_ESYT2.57488,2_ETV4.2118,2_EVPL.2125,2_EYA3.2140,2_FAM196A.642938,2_FAM82A1.151393,2_FAM92A1.137392,2_FAM92A3.403315,2_FARP2.9855,2_FBLN5.10516,2_FBXL22.283807,2_FBXO8.26269,2_FCER2.2208,2_FGD3.89846,2_FGF7.2252,2_FGFR4.2264,2_FHAD1.114827,2_FKBP3.2287,2_FKBP4.2288,2_FLJ35776.649446,2_FLJ43663.378805,2_FNBP1L.54874,2_FOLR4.390243,2_FOXE1.2304,2_FOXO1.2308,2_FRS3.10817,2_FSD1L.83856,2_FXYD1.5348,2_FYCO1.79443,2_FZD7.8324,2_GALK2.2585,2_GBP2.2634,2_GDEP.118425,2_GJB7.375519,2_GLIPR1L2.144321,2_GLMN.11146,2_GMEB1.10691,2_GNB1.2782,2_GNL3.26354,2_GNRHR2.114814,2_GPC2.221914,2_GPR17.2840,2_GPSM1.26086,2_GPX5.2880,2_GPX7.2882,2_GTF3C1.2975,2_GTPBP2.54676,2_GTPBP4.23560,2_GUSBL2.375513,2_GYG1.2992,2_H1FNT.341567,2_H2BFXP.767811,2_HDAC2.3066,2_HIST1H3I.8354,2_HIST1H4C.8364,2_HMGCR.3156,2_HMGXB3.22993,2_HMX2.3167,2_HN1L.90861,2_HNRNPA2B1.3181,2_HNRNPD.3184,2_HNRNPH1.3187,2_HNRNPK.3190,2_HNRNPR.10236,2_HOPX.84525,2_HOXC6.3223,2_HP1BP3.50809,2_HPGD.3248,2_HTN1.3346,2_ICMT.23463,2_IDO2.169355,2_IGFBP7.3490,2_IGSF22.283284,2_IL18BP.10068,2_IL1RAPL1.11141,2_IL28A.282616,2_ILK.3611,2_INSC.387755,2_IPCEF1.26034,2_ITM2B.9445,2_ITPK1.3705,2_IVNS1ABP.10625,2_JMJD5.79831,2_JRK.8629,2_KBTBD3.143879,2_KCND3.3752,2_KCNJ4.3761,2_KCTD21.283219,2_KDELR2.11014,2_KDM1B.221656,2_KDM2A.22992,2_KIAA0146.23514,2_KIAA0748.9840,2_KIAA1370.56204,2_KIAA1524.57650,2_KIAA1586.57691,2_KIAA1671.85379,2_KLHL32.114792,2_KLRD1.3824,2_KREMEN2.79412,2_KRTAP1.1.81851,2_LACE1.246269,2_LACRT.90070,2_LCE1D.353134,2_LCE2C.353140,2_LCE6A.448835,2_LCORL.254251,2_LGI4.163175,2_LIMS2.55679,2_LIN7C.55327,2_LIPJ.142910,2_LMNB1.4001,2_LOC100101266.100101266,2_LOC100129935.100129935,2_LOC100130581.100130581,2_LOC100133545.100133545,2_LOC100240734.100240734,2_LOC100240735.100240735,2_LOC283999.283999,2_LOC285548.285548,2_LOC286467.286467,2_LOC348926.348926,2_LOC389332.389332,2_LOC389458.389458,2_LOC400794.400794,2_LOC440354.440354,2_LOC441208.441208,2_LOC442308.442308,2_LOC642846.642846,2_LOC642852.642852,2_LOC729156.729156,2_LOC93432.93432,2_LRGUK.136332,2_LRRC1.55227,2_LRRN3.54674,2_LUZP1.7798,2_LYNX1.66004,2_LYPLAL1.127018,2_LYZL1.84569,2_MAGEA2.4101,2_MAGED1.9500,2_MAGED4.728239,2_MANSC1.54682,2_MAP4K1.11184,2_MARCH10.162333,2_MCHR2.84539,2_MDC1.9656,2_MEAF6.64769,2_MED20.9477,2_MEF2C.4208,2_MEIS3P1.4213,2_MEST.4232,2_METTL11B.149281,2_METTL9.51108,2_MFAP2.4237,2_MFF.56947,2_MGAT5B.146664,2_MIB1.57534,2_MMP10.4319,2_MOB2.81532,2_MORC4.79710,2_MRGPRF.116535,2_MRO.83876,2_MRPL2.51069,2_MRPS31.10240,2_MRPS9.64965,2_MRTO4.51154,2_MSH2.4436,2_MSL2.55167,2_MSTO1.55154,2_MTOR.2475,2_MURC.347273,2_MYL10.93408,2_MYLK2.85366,2_MYT1.4661,2_NBEAL2.23218,2_NCRNA00115.79854,2_NDST3.9348,2_NEAT1.283131,2_NFKBIL2.4796,2_NFYA.4800,2_NFYB.4801,2_NHEDC1.150159,2_NIF3L1.60491,2_NINJ1.4814,2_NKAP.79576,2_NKD2.85409,2_NKX3.2.579,2_NME5.8382,2_NMI.9111,2_NOL9.79707,2_NONO.4841,2_NOX5.79400,2_NPC1L1.29881,2_NPTN.27020,2_NPTX2.4885,2_NRAS.4893,2_NT5DC2.64943,2_NTSR2.23620,2_NUP93.9688,2_OC90.729330,2_OCIAD1.54940,2_ODZ1.10178,2_OLIG3.167826,2_ONECUT2.9480,2_OPRD1.4985,2_OR10A6.390093,2_OR11A1.26531,2_OR2A4.79541,2_OR2A7.401427,2_OR2M2.391194,2_OR4C45.403257,2_OR4M1.441670,2_OR6F1.343169,2_OR8K3.219473,2_ORAOV1.220064,2_OSBPL10.114884,2_OSR1.130497,2_OSTalpha.200931,2_OTUD3.23252,2_PAK1IP1.55003,2_PANK3.79646,2_PANK4.55229,2_PARK7.11315,2_PATE2.399967,2_PBOV1.59351,2_PCDHB2.56133,2_PCOTH.542767,2_PDCL2.132954,2_PDHA1.5160,2_PDIK1L.149420,2_PDZD9.255762,2_PDZRN4.29951,2_PEG10.23089,2_PEX11G.92960,2_PFKFB4.5210,2_PGD.5226,2_PGK2.5232,2_PGPEP1.54858,2_PGRMC1.10857,2_PHACTR4.65979,2_PHKA2.5256,2_PHYHIPL.84457,2_PITX1.5307,2_PIWIL1.9271,2_PKD1L3.342372,2_PKMYT1.9088,2_PLA2G2D.26279,2_PLA2R1.22925,2_PLAG1.5324,2_PLCG1.5335,2_PLCXD1.55344,2_PLEKHA8.84725,2_PLEKHG4.25894,2_PLEKHJ1.55111,2_PLEKHM1.9842,2_PLOD1.5351,2_PLRG1.5356,2_PNN.5411,2_POLD1.5424,2_POLD2.5425,2_POLE.5426,2_POU2AF1.5450,2_PPARD.5467,2_PPBP.5473,2_PPIAL4E.730262,2_PPIL1.51645,2_PPP1R11.6992,2_PPP1R12B.4660,2_PPP1R3B.79660,2_PPP2R5B.5526,2_PPP2R5D.5528,2_PRDM14.63978,2_PRELP.5549,2_PRF1.5551,2_PRIM2.5558,2_PRINS.100169750,2_PRKAG1.5571,2_PRKAG2.51422,2_PRKCB.5579,2_PRKCDBP.112464,2_PRPF38A.84950,2_PRR18.285800,2_PRR3.80742,2_PRSS35.167681,2_PSCA.8000,2_PSMA7.5688,2_PTBP1.5725,2_PTK2B.2185,2_PTK7.5754,2_PTPN20B.26095,2_PTPRM.5797,2_PYCRL.65263,2_RAB2A.5862,2_RAB34.83871,2_RAB40A.142684,2_RAB5B.5869,2_RAD54L.8438,2_RAI2.10742,2_RAMP3.10268,2_RAN.5901,2_RASIP1.54922,2_RASL12.51285,2_RBM10.8241,2_RBP4.5950,2_RDBP.7936,2_RECQL4.9401,2_RERE.473,2_RFTN1.23180,2_RHOB.388,2_RHOQ.23433,2_RIPPLY2.134701,2_RLBP1.6017,2_RMND5B.64777,2_RNASEH2A.10535,2_RNASEL.6041,2_RNF125.54941,2_RNF145.153830,2_RNGTT.8732,2_RNU11.26824,2_RPL11.6135,2_RPL8.6132,2_RPS27L.51065,2_RPS8.6202,2_RRP1.8568,2_RUNDC1.146923,2_SAMD5.389432,2_SBDSP1.155370,2_SBK1.388228,2_SCPEP1.59342,2_SDR42E1.93517,2_SEC13.6396,2_SEC61A2.55176,2_SEL1L2.80343,2_SELE.6401,2_SELV.348303,2_SEMA3A.10371,2_SEPT11.55752,2_SEPX1.51734,2_SERBP1.26135,2_SERPINI1.5274,2_SET.6418,2_SETDB2.83852,2_SF3B3.23450,2_SFRS13A.10772,2_SGSM1.129049,2_SH3D19.152503,2_SHISA4.149345,2_SHOX.6473,2_SHPK.23729,2_SHROOM2.357,2_SIP1.8487,2_SIRT5.23408,2_SIX2.10736,2_SLC10A4.201780,2_SLC19A1.6573,2_SLC25A23.79085,2_SLC29A1.2030,2_SLC38A3.10991,2_SLC48A1.55652,2_SLC5A3.6526,2_SLC7A5.8140,2_SLFNL1.200172,2_SMCP.4184,2_SMOC2.64094,2_SMR3B.10879,2_SMTN.6525,2_SNAP23.8773,2_SNRPD1.6632,2_SNTB1.6641,2_SNX11.29916,2_SNX18.112574,2_SNX33.257364,2_SOX11.6664,2_SOX13.9580,2_SOX4.6659,2_SPACA1.81833,2_SPATA20.64847,2_SPC25.57405,2_SPEM1.374768,2_SPOP.8405,2_SPRY4.81848,2_SQRDL.58472,2_ST18.9705,2_ST6GALNAC1.55808,2_SUOX.6821,2_SUPV3L1.6832,2_SURF1.6834,2_SYNPO2.171024,2_TACC2.10579,2_TAPBPL.55080,2_TARDBP.23435,2_TATDN3.128387,2_TBC1D21.161514,2_TBC1D24.57465,2_TBC1D28.254272,2_TBC1D5.9779,2_TBPL1.9519,2_TBRG1.84897,2_TFDP3.51270,2_THAP2.83591,2_THAP6.152815,2_THEMIS.387357,2_TIAL1.7073,2_TIMELESS.8914,2_TK1.7083,2_TLR3.7098,2_TLR5.7100,2_TMEFF1.8577,2_TMEM123.114908,2_TMEM176B.28959,2_TMEM196.256130,2_TMEM201.199953,2_TMEM205.374882,2_TMEM31.203562,2_TMEM80.283232,2_TMEM8B.51754,2_TMEM97.27346,2_TNF.7124,2_TNFSF11.8600,2_TNNT1.7138,2_TPCN2.219931,2_TPM1.7168,2_TRAM1.23471,2_TREML4.285852,2_TRIM21.6737,2_TRIM29.23650,2_TRIM40.135644,2_TRIM47.91107,2_TRIM61.391712,2_TRIM68.55128,2_TRIP4.9325,2_TROAP.10024,2_TSGA13.114960,2_TSHR.7253,2_TTC39A.22996,2_TTK.7272,2_TUBB.203068,2_TUBB3.10381,2_TUBB8.347688,2_TXNIP.10628,2_UBE2I.7329,2_UBTD2.92181,2_UBXN10.127733,2_UBXN11.91544,2_UCHL3.7347,2_UNC93B1.81622,2_USP24.23358,2_USP45.85015,2_VARS2.57176,2_VMAC.400673,2_VPS18.57617,2_WDR67.93594,2_WFDC10B.280664,2_WFDC3.140686,2_WFDC5.149708,2_WHAMML1.339005,2_XPO5.57510,2_YIPF3.25844,2_YRDC.79693,2_YWHAE.7531,2_YWHAQ.10971,2_ZBTB12.221527,2_ZBTB47.92999,2_ZC3H10.84872,2_ZC3H12C.85463,2_ZMPSTE24.10269,2_ZNF10.7556,2_ZNF146.7705,2_ZNF193.7746,2_ZNF250.58500,2_ZNF280C.55609,2_ZNF436.80818,2_ZNF496.84838,2_ZNF679.168417,2_ZNF707.286075,2_ZNF883.169834
0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,85,0,76,0,76,0,0,0,11,0,0,0,43,135,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,19,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,18,12,70,60,0,0,0,0,0,0,0,0,254,193,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,249,0,47,0,0,0,0,0,0,0,0,0,70,110,0,300,0,0,0,123,0,0,0,0,0,143,212,0,0,125,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,45,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,195,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,11,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,149,1,0,24,122,0,0,125,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,13,0,296,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,87,0,0,0,0,0,21,1,117,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,16,0,0,0,0,0,0,0,0,0,0,0,0,0,15,97,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,200,0,315,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0,0,119,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,26,0,0,0,0,0,0,0,156,0,0,0,0,97,0,0,0,221,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,114,0,175,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,79,0,0,0,0,0,0,0,0,0,63,0,0,0,0,232,0,0,0,194,0,0,0,0,0,0,0,0,111,0,0,193,84,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,103,0,0,0,0,0,62,0,48,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0
100,0,0,10,0,0,1,0,0,0,0,3,1,0,0,0,2,0,2,0,1,151,0,0,1,0,2,1,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,2,1,18,0,2,1,0,2,3,0,0,0,0,0,2,0,0,1,0,0,0,37,2,137,0,0,453,0,6,1,3,1,0,0,0,2,0,0,1,0,0,1,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,28,3,0,0,2,0,1,0,112,0,0,0,1,0,1,0,0,0,2,1,1,4,0,0,10,28,0,0,2,81,0,0,0,7,0,0,1,0,0,0,2,6,0,219,1,0,1,1,0,0,2,0,0,0,0,0,0,18,1,0,0,0,0,187,0,0,0,0,1,0,0,0,0,0,0,0,3,0,12,0,0,0,1,1,1,0,0,0,6,0,1,0,0,26,0,0,1,1,2,0,84,0,0,0,65,0,0,41,0,0,0,1,0,0,16,0,2,0,0,0,3,0,2,0,1,347,0,0,1,1,1,0,21,0,0,13,0,71,2,0,8,0,0,19,1,2,0,1,2,0,2,81,1,1,2,0,0,0,1,0,0,4,1,1,0,0,2,37,0,4,0,5,0,0,2,0,0,0,0,4,0,0,14,0,156,0,1,0,6,1,28,0,0,2,1,0,120,0,236,0,1,1,2,0,1,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,3,0,43,0,0,1,1,2,2,12,0,231,0,0,0,2,0,1,1,1,0,1,2,1,1,0,2,0,2,13,0,31,0,0,0,1,0,1,0,0,0,0,0,0,2,1,2,1,1,0,32,0,0,1,1,214,0,0,0,2,0,0,227,90,0,0,0,433,0,13,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,2,0,0,4,1,0,0,8,427,0,4,1,0,1,3,0,2,2,1,3,1,113,1,0,1,0,0,0,1,2,1,1,5,0,1,0,2,1,0,0,1,0,1,0,0,0,0,1,0,3,1,1,1,1,1,0,0,1,1,7,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,2,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,1,0,0,18,10,1,0,0,4,0,0,1,2,0,6,0,0,0,4,1,1,0,2,0,0,0,1,244,0,0,0,4,0,0,29,18,1,0,0,0,15,0,0,1,15,110,1,90,2,0,1,0,1,0,0,0,1,0,1,0,0,2,97,2,0,2,2,0,0,0,0,0,1,0,0,1,5,219,0,1,0,0,3,0,1,0,1,0,3,1,42,0,0,1,0,3,1,0,1,2,1,0,0,3,15,0,0,1,0,2,2,0,1,1,0,0,79,2,0,0,0,8,0,0,0,0,1,0,0,0,2,1,0,1,1,0,3,0,1,1,3,2,0,1,0,0,0,0,4,0,0,13,0,0,7,14,0,0,0,0,0,1,0,0,2,0,5,0,4,0,0,0,0,2,0,5,0,0,0,37,45,1,0,0,8,1,1,0,7,1,0,0,1,0,1,3,1,1,0,0,0,76,4,0,1,85,0,0,0,52,0,0,0,0,0,3,0,3,0,3,1,0,2,1,0,0,3,0,0,0,27,0,17,0,1,1,0
200,0,1,0,0,4,0,0,104,0,0,0,0,0,5,1,2,0,13,5,0,30,1,1,0,0,2,0,0,2,0,0,0,0,0,0,2,3,13,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,19,0,0,7,1,0,1,1,1,1,0,195,0,1,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,4,0,0,0,1,0,0,332,1,1,2,0,0,0,1,302,0,0,0,0,2,0,2,0,1,0,0,0,7,0,4,0,6,2,1,0,8,0,0,0,25,1,1,0,1,0,0,0,0,0,287,0,2,0,0,0,1,0,0,0,6,0,1,0,0,0,1,0,0,1,176,1,1,1,1,1,18,0,1,2,0,3,0,0,2,1,0,10,1,0,0,2,0,0,0,0,8,0,0,0,1,1,0,1,0,9,1,18,0,0,1,0,2,5,144,1,133,1,1,0,1,12,1,0,0,1,1,0,7,0,0,0,204,3,1,0,0,0,1,20,1,3,0,0,39,0,1,5,0,1,1,0,3,0,0,0,0,0,55,0,0,0,7,0,3,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,2,0,0,0,2,1,0,9,4,0,3,111,2,0,1,0,0,206,10,1,0,0,1,183,0,209,27,0,0,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,12,2,1,0,0,0,15,0,345,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,2,1,0,0,1,0,1,0,2,6,1,1,0,0,0,0,2,84,0,1,0,1,301,0,0,0,1,0,2,84,28,0,1,0,436,0,7,0,4,0,0,0,1,0,0,0,1,1,1,0,1,0,1,5,0,0,0,1,0,0,425,1,0,0,0,0,4,0,0,1,0,0,10,2,0,1,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,6,0,24,0,0,7,0,0,3,0,0,1,0,0,2,0,0,0,1,1,0,3,1,0,0,0,0,1,0,0,3,2,0,0,1,0,0,0,0,4,0,0,0,1,0,2,0,2,0,1,0,0,0,0,0,1,0,4,0,0,6,0,0,183,1,4,4,2,2,0,0,0,0,0,1,8,1,0,0,0,0,74,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,6,26,0,6,0,0,0,0,1,1,0,0,1,2,0,0,335,1,0,1,0,0,0,0,0,0,1,4,0,11,1,0,0,0,0,0,2,0,0,7,0,0,0,12,4,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,8,2,3,4,2,0,0,2,0,1,0,0,0,2,0,1,0,2,0,1,0,0,0,15,17,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,3,1,0,0,3,0,0,2,2,0,0,0,9,0,0,0,0,2,0,7,0,0,6,0,0,1,1,0,0,180,2,0,1,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,1,0,0,24,1,0,0,0,0,0
