inner_cv_RF4_bal_acc,inner_cv_root_leanness,train_RF4_bal_acc,train_root_leanness,test_RF4_bal_acc,test_root_leanness
0.937264963829231,0.2773500981126146,0.9646925940473726,0.2773500981126146,0.8043876243863168,0.2773500981126146
0.937264963829231,0.2773500981126146,0.9651016849564635,0.2773500981126146,0.7974260859247783,0.2773500981126146
0.937264963829231,0.2773500981126146,0.9643827639751552,0.2773500981126146,0.8099075674062598,0.2773500981126146
0.9314814956640153,0.28867513459481287,0.9640412422264292,0.28867513459481287,0.7997403759232788,0.28867513459481287
0.9326489824603488,0.28867513459481287,0.9595239767774616,0.28867513459481287,0.7907078868161839,0.28867513459481287
0.931109896740954,0.28867513459481287,0.9730653960842783,0.28867513459481287,0.8120551907380936,0.28867513459481287
0.9279022086159457,0.30151134457776363,0.9636623500227801,0.30151134457776363,0.7889467429680834,0.30151134457776363
0.9264340516542543,0.31622776601683794,0.9676476236393319,0.31622776601683794,0.7852478878162666,0.31622776601683794
0.9234384832815391,0.3333333333333333,0.9668486995341615,0.3333333333333333,0.8013926832047574,0.3333333333333333
0.9147551549386531,0.3535533905932738,0.9657401979813665,0.3535533905932738,0.7749104061504555,0.3535533905932738
0.9012804641296495,0.3779644730092272,0.9444956320954576,0.3779644730092272,0.7818359198772833,0.3779644730092272
0.8916600586592939,0.408248290463863,0.9460057417044613,0.408248290463863,0.7789390867194936,0.408248290463863
0.862767821494244,0.4472135954999579,0.9383551629105443,0.4472135954999579,0.731461745895367,0.4472135954999579
0.8342452650845406,0.5,0.933029097134456,0.5,0.7366030161738567,0.5
0.8103138735439139,0.5773502691896257,0.8858586357595288,0.5773502691896257,0.7483896000027747,0.5773502691896257
0.6530847669881331,0.7071067811865476,0.8070681216064617,0.7071067811865476,0.5752596126619042,0.7071067811865476
0.20000000000000004,1.0,0.2,1.0,0.2,1.0
