inner_cv_RF4_bal_acc,inner_cv_root_leanness,train_RF4_bal_acc,train_root_leanness,test_RF4_bal_acc,test_root_leanness
0.9613561666205335,0.28867513459481287,0.9820869869879348,0.28867513459481287,0.897807759576514,0.28867513459481287
0.9581906476915206,0.31622776601683794,0.9786110525238464,0.31622776601683794,0.8734692386651667,0.31622776601683794
0.9541185639132925,0.3333333333333333,0.9747173315483898,0.3333333333333333,0.9296250333678759,0.3333333333333333
0.9505298566258074,0.3535533905932738,0.9872872798934517,0.3535533905932738,0.8793996643742702,0.3535533905932738
0.9473200405107858,0.3779644730092272,0.9775541388556266,0.3779644730092272,0.8640581912322054,0.3779644730092272
0.939012286640565,0.408248290463863,0.9634480463595194,0.408248290463863,0.8923112457434835,0.408248290463863
0.9251897955593106,0.4472135954999579,0.9647863564277853,0.4472135954999579,0.8573286047143538,0.4472135954999579
0.9094703919114296,0.5,0.9462649157496096,0.5,0.8438830332586629,0.5
0.8880493629648156,0.5773502691896257,0.9341561166102371,0.5773502691896257,0.8493487378455428,0.5773502691896257
0.7525099089529753,0.7071067811865476,0.8472412131093534,0.7071067811865476,0.688176034900087,0.7071067811865476
0.20000000000000004,1.0,0.2,1.0,0.2,1.0
