inner_cv_RF4_bal_acc,inner_cv_root_leanness,train_RF4_bal_acc,train_root_leanness,test_RF4_bal_acc,test_root_leanness
0.011130696458721676,0.0,0.0070644118320581884,0.0,0.0320029488847611,0.0
0.011100952327575811,0.0,0.004736196337160454,0.0,0.03162737740238413,0.0
0.01215366299437278,0.0,0.006280323853481687,0.0,0.029619488772397718,0.0
0.012983570163258176,0.0,0.005926107607598932,0.0,0.03694899840821309,0.0
0.012066400620998745,0.0,0.005743412718057583,0.0,0.02646010869916089,0.0
0.012373396846210206,0.0,0.009111903534599688,0.0,0.026080344959707857,0.0
0.012078973100073514,0.0,0.009397095430927413,0.0,0.028866542871778856,0.0
0.013226478364781004,0.0,0.0085869660691006,0.0,0.02300934929180817,0.0
0.014844571590011714,0.0,0.00816004323988387,0.0,0.04030358362944033,0.0
0.014133730347798122,0.0,0.007300923336799937,0.0,0.03593064044264727,0.0
0.016077156047946056,0.0,0.008588155676833478,0.0,0.0327268134589894,0.0
0.018739045061720437,0.0,0.004282130678787514,0.0,0.03372020568290297,0.0
0.02018427728098997,0.0,0.018612913961783648,0.0,0.03915831797246736,0.0
0.023824025876071294,0.0,0.015179106695956096,0.0,0.028267078344740192,0.0
0.0,0.0,0.0,0.0,0.0,0.0
