0_CCNDBP1,0_COG1,0_COPB1,0_EFNB2,0_FGFR4,0_FMR1,0_LAMB1,0_LGI4,0_LONP1,0_LRRC28,0_MST1R,0_NDUFA4L2,0_OSBPL1A,0_PDZK1IP1,0_PLCG2,0_SEC63,0_SFRP1,0_STC2,0_TBC1D1,0_TBC1D9B,0_TRDMT1
0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0
0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1
1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
