gen,evals,gen_feats,explored,type svm balanced accuracy_min,type svm balanced accuracy_avg,type svm balanced accuracy_max,type svm balanced accuracy_std,root leanness_min,root leanness_avg,root leanness_max,root leanness_std
0,500,5099,5099,0.2,0.7868567161911707,0.9008233710814298,0.12060839728983305,0.14002800840280097,0.24857141639061445,1.0,0.1420394101476486
1,381,4028,5159,0.2,0.7534239627987999,0.9008233710814298,0.14068478949393687,0.12803687993289598,0.3131071903872412,1.0,0.1550253482262396
2,373,2629,5211,0.2,0.7782538831172716,0.9008233710814298,0.1304229699452595,0.1270001270001905,0.30570971759462146,1.0,0.15119493241109597
3,393,2217,5266,0.2,0.7723085404862291,0.9014057144310688,0.1409856167893538,0.12598815766974242,0.3275362784256667,1.0,0.1577169285178038
4,397,1758,5318,0.2,0.7752272723696981,0.9051711971683863,0.1402070619634471,0.12598815766974242,0.3359567458849784,1.0,0.1583392137220698
5,376,1465,5361,0.2,0.7857800723401158,0.9051711971683863,0.13590942144731646,0.125,0.33154371875621036,1.0,0.15994569795701657
6,385,1294,5414,0.2,0.7885699100777077,0.9056917614844113,0.14486114561100125,0.12309149097933274,0.33391161005346676,1.0,0.1678983121952833
7,379,1233,5451,0.2,0.7941221081559394,0.9077489467769976,0.13568865530068275,0.12403473458920845,0.33895511281952156,1.0,0.16712632571991276
8,377,1178,5481,0.2,0.7875050003568251,0.9077489467769976,0.1446709229127069,0.12598815766974242,0.35429211876917693,1.0,0.17251579544151255
9,379,1136,5516,0.2,0.7962300873314825,0.9157268033624941,0.1416979739907776,0.12598815766974242,0.35401435312003954,1.0,0.16949146960510447
10,374,1039,5545,0.2,0.7906470872587044,0.9157268033624941,0.14630678867660613,0.12598815766974242,0.368099323957686,1.0,0.17809550724083717
11,362,994,5570,0.2,0.7952362233108333,0.9157268033624941,0.1433566182526274,0.1414213562373095,0.36593737858677844,1.0,0.1768836589380571
12,378,984,5598,0.2,0.7959231933754409,0.9206569727990896,0.15066691900135437,0.1386750490563073,0.3683825252174104,1.0,0.18212220166958218
13,378,942,5619,0.2,0.7929171869130197,0.9206569727990896,0.1475880087612379,0.1414213562373095,0.38540751512633054,1.0,0.17569600974803323
14,380,915,5646,0.2,0.795397163110545,0.9206569727990896,0.15045099723714592,0.1414213562373095,0.3829790426692007,1.0,0.18294536517758653
15,388,895,5660,0.2,0.8074000581283474,0.9206569727990896,0.147915076655802,0.15811388300841897,0.3665783456915444,1.0,0.18318328187361357
16,376,866,5681,0.2,0.8139700581542554,0.9206569727990896,0.14457200716599994,0.15811388300841897,0.36420890202020234,1.0,0.17825069371570848
17,357,843,5702,0.2,0.8150656830540087,0.9223222274745,0.145097045572398,0.15811388300841897,0.36231484783022755,1.0,0.1835173364840177
18,375,834,5712,0.2,0.819189175126249,0.9223222274745,0.14459650823643494,0.15811388300841897,0.3632622008009886,1.0,0.18292806054438293
19,385,830,5731,0.2,0.8183207344380076,0.9223222274745,0.1423005678122901,0.15811388300841897,0.37174667270337647,1.0,0.1823285794738149
20,381,788,5744,0.2,0.8203235797122648,0.9248961850799041,0.13741163580823043,0.15811388300841897,0.3769514436528659,1.0,0.1763293265395072
21,381,742,5759,0.2,0.8055135678816857,0.9248961850799041,0.14426133514000514,0.15811388300841897,0.401254639273599,1.0,0.18271463096409013
22,371,764,5769,0.2,0.8169385102420594,0.9255053668621785,0.14599840902037314,0.15811388300841897,0.390180760771324,1.0,0.1806690015922192
23,379,749,5784,0.2,0.8156992860435204,0.9255053668621785,0.14534273001691692,0.1543033499620919,0.3959838879430536,1.0,0.18071859186722575
24,370,703,5788,0.2,0.8275741541300919,0.9255053668621785,0.12348613755660272,0.15617376188860607,0.39520687212609096,1.0,0.16247463581079258
25,354,707,5796,0.2,0.8273614151897284,0.9255053668621785,0.13602750551259335,0.15617376188860607,0.39158803386096064,1.0,0.17467101783840547
26,383,705,5800,0.2,0.8388377734629021,0.9292090705658822,0.12855388699758982,0.15249857033260467,0.38123010915712197,1.0,0.1691494240802541
27,368,707,5806,0.2,0.8592596628367435,0.9293526249730025,0.11418964221306802,0.15249857033260467,0.35387258774175734,1.0,0.15847738500009098
28,365,728,5813,0.2,0.8561187586630198,0.9293526249730025,0.1152726113883197,0.14907119849998599,0.3626571232540183,1.0,0.16115267454268378
29,381,685,5822,0.2,0.8586633240747218,0.9293526249730025,0.11580509585437739,0.14907119849998599,0.36462327622110524,1.0,0.15815149675843773
30,369,712,5828,0.2,0.8573887788736904,0.9293526249730025,0.11919003270500522,0.15249857033260467,0.3669334105399217,1.0,0.163439107045971
31,380,657,5834,0.2,0.8545030164090107,0.9298612951174778,0.12063961354380746,0.15249857033260467,0.37868011743478236,1.0,0.16165737700047034
32,389,680,5843,0.2,0.8558982223277388,0.9348613457560301,0.12082626107090298,0.15249857033260467,0.37538077210569204,1.0,0.16482292200159443
33,377,675,5851,0.2,0.8540914966330074,0.9359910918543296,0.12652213290116204,0.15075567228888181,0.37498968376327035,1.0,0.17214376766352382
34,368,674,5854,0.2,0.853948685034565,0.9359910918543296,0.12579144209456317,0.15075567228888181,0.3810849659180699,1.0,0.17014689981817024
35,365,632,5857,0.2,0.8535423659320778,0.9374390953646412,0.12481578274486917,0.15075567228888181,0.3820318493297105,1.0,0.17370029845240945
36,375,658,5865,0.2,0.8558776650304526,0.9374390953646412,0.12734269699057688,0.14744195615489714,0.37737552358149035,1.0,0.17289070725904984
37,389,704,5871,0.2,0.8530426669370529,0.9423305321970513,0.1329502568733504,0.1767766952966369,0.3778928645188823,1.0,0.17979264315346927
38,370,604,5872,0.2,0.8483346938616889,0.9423305321970513,0.12983677327704024,0.1767766952966369,0.3971689784628388,1.0,0.17416086730584113
39,368,619,5872,0.2,0.8532855597456014,0.9423305321970513,0.13067848991654687,0.1767766952966369,0.3948078836404251,1.0,0.16774820378236863
40,379,591,5875,0.2,0.8415951227537386,0.9423305321970513,0.14227579346085936,0.1767766952966369,0.41584931718452445,1.0,0.1734266954120222
41,366,566,5876,0.2,0.8416055160457085,0.9423305321970513,0.14889450058209056,0.1767766952966369,0.41264781938201034,1.0,0.1800040728534692
42,385,619,5877,0.2,0.8500660569313931,0.9423305321970513,0.15229456934998933,0.1767766952966369,0.4005630652756342,1.0,0.18031538232706348
43,353,569,5879,0.2,0.8441896073910619,0.9423305321970513,0.15827366267755655,0.22360679774997896,0.4167276456265368,1.0,0.18056894629595419
44,377,553,5879,0.2,0.8376145325814331,0.9423305321970513,0.16666981448194684,0.22360679774997896,0.42534716185413746,1.0,0.19089203360262927
45,359,505,5879,0.2,0.8269062037172464,0.9423305321970513,0.17370582594131728,0.23570226039551584,0.4482907936620906,1.0,0.19860571564898033
46,377,521,5879,0.2,0.8210276622158913,0.9429128755466902,0.18509982052755716,0.22941573387056177,0.455448267762803,1.0,0.2076217447694856
47,377,529,5880,0.2,0.8219182530076354,0.9429128755466902,0.19516583144703317,0.22941573387056177,0.44809976830903453,1.0,0.21519887821208358
48,360,523,5881,0.2,0.8177709060320408,0.9429128755466902,0.21262840494656668,0.22941573387056177,0.4466627537052541,1.0,0.2299665490644925
49,366,553,5881,0.2,0.8218534457179452,0.9429128755466902,0.2059742383137317,0.22941573387056177,0.4508379744766951,1.0,0.22196553452370393
50,369,543,5881,0.2,0.8038545852502382,0.9441474434479249,0.22112491988318597,0.22941573387056177,0.4738898057766092,1.0,0.23514761017946836
51,365,522,5881,0.2,0.8156406399346927,0.9441474434479249,0.21668195988635186,0.22941573387056177,0.4521198264095783,1.0,0.23691170223151348
52,367,536,5881,0.2,0.8255660386073032,0.9441474434479249,0.20761068828733878,0.22941573387056177,0.44066026344086406,1.0,0.2276974864226735
53,355,505,5882,0.2,0.8274119425490316,0.9441474434479249,0.20573135239267717,0.22941573387056177,0.4385729539411457,1.0,0.22614294777183983
54,350,499,5882,0.2,0.8287591491498495,0.9441474434479249,0.2007571243957405,0.22941573387056177,0.4447496027375629,1.0,0.21637525833784196
55,358,522,5883,0.2,0.8269465996683292,0.9466515198513724,0.20304945465800872,0.22360679774997896,0.4467393526697382,1.0,0.2200744776733689
56,367,540,5883,0.2,0.8219489673386049,0.9466515198513724,0.20629327688896656,0.22360679774997896,0.45542904391418554,1.0,0.22260328405184884
