0_age_at_initial_pathologic_diagnosis,1_ALDH5A1.7915,1_ARAP3.64411,1_ARMC9.80210,1_BICD1.636,1_BID.637,1_C17orf96.100170841,1_CCDC8.83987,1_CEP55.55165,1_COL8A1.1295,1_CRTAC1.55118,1_CUEDC2.79004,1_DIAPH1.1729,1_EFHB.151651,1_FREM2.341640,1_GGTA1.2681,1_GNG12.55970,1_GOLT1A.127845,1_GPR1.2825,1_GSX2.170825,1_HILS1.373861,1_HOXD13.3239,1_HS2ST1.9653,1_KIF2C.11004,1_LOC100132707.100132707,1_MARCH5.54708,1_MCM8.84515,1_METTL7B.196410,1_MFAP4.4239,1_NCRNA00152.112597,1_NDST4.64579,1_PHTF1.10745,1_PLCB1.23236,1_PYCR1.5831,1_SCD5.79966,1_SIPA1L3.23094,1_TDH.157739,1_TMEFF2.23671,1_TMEM194A.23306,1_TRPM8.79054,1_TTF2.8458,1_TXN2.25828,1_ULK4.54986,1_UPK2.7379,1_WEE1.7465,1_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
