0_C1orf216,0_CDH11,0_DFNB59,0_FAP,0_FLNC,0_GPR12,0_IRF1,0_STMN1,0_STX11,0_TFEC,0_TMEFF1,0_TMEM38A
1,0,0,1,1,1,1,1,1,0,0,1
1,0,0,1,1,1,1,1,1,0,0,0
1,0,0,1,1,1,0,1,1,0,0,0
0,0,1,1,1,0,0,1,1,0,0,0
0,0,0,1,1,0,0,1,0,1,0,0
0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
