0_age_at_initial_pathologic_diagnosis,0_race_WHITE,1_hsa.let.7a.3p,1_hsa.let.7c.3p,1_hsa.let.7g.3p,1_hsa.miR.103a.2.5p,1_hsa.miR.103a.3p,1_hsa.miR.1197,1_hsa.miR.1229.3p,1_hsa.miR.124.3p,1_hsa.miR.1262,1_hsa.miR.1269a,1_hsa.miR.1301.3p,1_hsa.miR.1306.3p,1_hsa.miR.1306.5p,1_hsa.miR.1307.3p,1_hsa.miR.130b.3p,1_hsa.miR.1343.3p,1_hsa.miR.1468.5p,1_hsa.miR.146b.3p,1_hsa.miR.148b.5p,1_hsa.miR.15b.3p,1_hsa.miR.16.2.3p,1_hsa.miR.17.3p,1_hsa.miR.17.5p,1_hsa.miR.181b.3p,1_hsa.miR.191.5p,1_hsa.miR.193a.3p,1_hsa.miR.19a.3p,1_hsa.miR.19b.3p,1_hsa.miR.20a.3p,1_hsa.miR.20a.5p,1_hsa.miR.210.3p,1_hsa.miR.21.3p,1_hsa.miR.24.2.5p,1_hsa.miR.24.3p,1_hsa.miR.28.5p,1_hsa.miR.29c.3p,1_hsa.miR.301a.3p,1_hsa.miR.301b,1_hsa.miR.30b.5p,1_hsa.miR.30c.1.3p,1_hsa.miR.3127.5p,1_hsa.miR.3170,1_hsa.miR.3187.3p,1_hsa.miR.3200.3p,1_hsa.miR.324.5p,1_hsa.miR.339.5p,1_hsa.miR.33a.5p,1_hsa.miR.3605.3p,1_hsa.miR.3607.5p,1_hsa.miR.361.3p,1_hsa.miR.3615,1_hsa.miR.361.5p,1_hsa.miR.3648,1_hsa.miR.3677.3p,1_hsa.miR.3678.5p,1_hsa.miR.3687,1_hsa.miR.374a.3p,1_hsa.miR.374b.3p,1_hsa.miR.421,1_hsa.miR.423.3p,1_hsa.miR.424.3p,1_hsa.miR.454.3p,1_hsa.miR.455.3p,1_hsa.miR.4661.5p,1_hsa.miR.4662a.5p,1_hsa.miR.4668.3p,1_hsa.miR.484,1_hsa.miR.491.3p,1_hsa.miR.503.3p,1_hsa.miR.505.3p,1_hsa.miR.532.3p,1_hsa.miR.548f.3p,1_hsa.miR.548v,1_hsa.miR.551a,1_hsa.miR.744.3p,1_hsa.miR.766.3p,1_hsa.miR.7706,1_hsa.miR.877.5p,1_hsa.miR.887.3p,1_hsa.miR.92a.1.5p,1_hsa.miR.92a.3p,1_hsa.miR.93.3p,1_hsa.miR.371a.5p,1_hsa.miR.373.5p,1_hsa.miR.498,1_hsa.miR.512.3p,1_hsa.miR.515.3p,1_hsa.miR.518a.3p,1_hsa.miR.518a.5p,1_hsa.miR.518c.3p,1_hsa.miR.518d.3p,1_hsa.miR.518f.3p,1_hsa.miR.519c.3p,1_hsa.miR.520b,1_hsa.miR.520c.3p,1_hsa.miR.520e,1_hsa.miR.520f.3p,1_hsa.miR.520g.3p,1_hsa.miR.527
1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
