gen,0_age_at_initial_pathologic_diagnosis,0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.1251.5p,1_hsa.miR.1269a,1_hsa.miR.130b.3p,1_hsa.miR.138.5p,1_hsa.miR.139.3p,1_hsa.miR.139.5p,1_hsa.miR.146b.5p,1_hsa.miR.181a.2.3p,1_hsa.miR.18a.5p,1_hsa.miR.191.5p,1_hsa.miR.194.3p,1_hsa.miR.215.5p,1_hsa.miR.223.3p,1_hsa.miR.296.5p,1_hsa.miR.3065.5p,1_hsa.miR.30b.5p,1_hsa.miR.34c.5p,1_hsa.miR.3648,1_hsa.miR.425.5p,1_hsa.miR.96.5p,2_..26823,2_A2LD1.87769,2_AARSD1.80755,2_ABCB1.5243,2_ABCB4.5244,2_ABHD8.79575,2_ACCN2.41,2_ACSS3.79611,2_ACTC1.70,2_ADAMTS14.140766,2_ADRM1.11047,2_AGGF1.55109,2_AIFM2.84883,2_AK1.203,2_ALAD.210,2_ALDH1L1.10840,2_ALDH3B1.221,2_ALG12.79087,2_AMH.268,2_AMOT.154796,2_ANGPT4.51378,2_ANKRD26P1.124149,2_ANKRD50.57182,2_ANKRD54.129138,2_ANKRD56.345079,2_ANKS4B.257629,2_ANPEP.290,2_APOBEC3H.164668,2_AQP4.361,2_ARF5.381,2_ARFRP1.10139,2_ARHGAP20.57569,2_ARHGEF17.9828,2_ARHGEF4.50649,2_ARID1B.57492,2_ARIH1.25820,2_ARX.170302,2_ASB17.127247,2_ASPG.374569,2_ATG9B.285973,2_ATP11C.286410,2_ATP5H.10476,2_ATP8B3.148229,2_ATPAF2.91647,2_ATXN7L3B.552889,2_AUP1.550,2_B3GAT2.135152,2_B9D2.80776,2_BAI1.575,2_BARX1.56033,2_BCDIN3D.144233,2_BCL2L12.83596,2_BEND3.57673,2_BPIL3.128859,2_BRMS1.25855,2_BTG2.7832,2_BUB1.699,2_C11orf10.746,2_C11orf31.280636,2_C11orf54.28970,2_C12orf32.83695,2_C14orf153.84334,2_C14orf49.161176,2_C15orf52.388115,2_C1orf113.79729,2_C1orf123.54987,2_C1orf150.148823,2_C1orf190.541468,2_C1orf223.374973,2_C1orf226.400793,2_C1orf97.84791,2_C21orf119.84996,2_C21orf70.85395,2_C6orf186.728464,2_C6orf72.116254,2_C9orf156.51531,2_C9orf170.401535,2_CA8.767,2_CAB39L.81617,2_CABLES2.81928,2_CALM1.801,2_CAMK1D.57118,2_CAMK2D.817,2_CAPRIN2.65981,2_CARS.833,2_CASP3.836,2_CCDC121.79635,2_CCDC22.28952,2_CCL3.6348,2_CCL5.6352,2_CD320.51293,2_CD72.971,2_CDC14A.8556,2_CDH12.1010,2_CDH22.64405,2_CDK11B.984,2_CDK4.1019,2_CDKL5.6792,2_CDKN2D.1032,2_CDR2.1039,2_CDRT15P.94158,2_CEBPA.1050,2_CHD9.80205,2_CHID1.66005,2_CKLF.51192,2_CLDN6.9074,2_CLGN.1047,2_CNO.55330,2_CNTNAP5.129684,2_COMT.1312,2_COPZ2.51226,2_COQ10A.93058,2_CORO6.84940,2_CPA4.51200,2_CPOX.1371,2_CREM.1390,2_CRYBA1.1411,2_CST2.1470,2_CTAGE4.100128553,2_CTDSPL2.51496,2_CTSE.1510,2_CXorf50B.653687,2_CYP2D7P1.1564,2_CYP2J2.1573,2_CYP3A7.1551,2_CYP4B1.1580,2_DAND5.199699,2_DBH.1621,2_DCK.1633,2_DDAH1.23576,2_DENR.8562,2_DGKB.1607,2_DHTKD1.55526,2_DIP2B.57609,2_DIRC2.84925,2_DKK2.27123,2_DNM3.26052,2_DPAGT1.1798,2_DPP6.1804,2_DPP9.91039,2_DRD4.1815,2_DRG2.1819,2_DSCAML1.57453,2_DSCR3.10311,2_DTNB.1838,2_DUSP9.1852,2_DVL3.1857,2_DYNC2H1.79659,2_DYNLT1.6993,2_DYRK2.8445,2_E2F1.1869,2_ECM1.1893,2_EFNA5.1946,2_EIF5AL1.143244,2_ELF1.1997,2_EME1.146956,2_EMID2.136227,2_EPC2.26122,2_ETV3L.440695,2_FABP1.2168,2_FAM114A1.92689,2_FAM125A.93343,2_FAM126B.285172,2_FAM134B.54463,2_FAM138F.641702,2_FAM158A.51016,2_FAM177A1.283635,2_FAM26F.441168,2_FAM7A3.89837,2_FAM83F.113828,2_FAM98C.147965,2_FBXL3.26224,2_FBXO30.84085,2_FEM1B.10116,2_FKBP11.51303,2_FKBP1A.2280,2_FLAD1.80308,2_FLJ30679.146512,2_FLT3.2322,2_FOSB.2354,2_FOSL1.8061,2_FOXA2.3170,2_FOXD4L6.653404,2_FOXN3.1112,2_FOXP3.50943,2_FRS2.10818,2_FUS.2521,2_FUT1.2523,2_FXYD5.53827,2_FXYD6.53826,2_G6PC3.92579,2_GABBR1.2550,2_GAL3ST2.64090,2_GALNS.2588,2_GALNT12.79695,2_GCC2.9648,2_GCET2.257144,2_GJB1.2705,2_GJD3.125111,2_GLUD2.2747,2_GLYAT.10249,2_GMEB2.26205,2_GNA13.10672,2_GNB1.2782,2_GNMT.27232,2_GOLGA3.2802,2_GOLGA6L10.647042,2_GPC1.2817,2_GPC4.2239,2_GPR109B.8843,2_GPR82.27197,2_GPX4.2879,2_GTF2E2.2961,2_GTF3A.2971,2_GYG2.8908,2_H3F3C.440093,2_HAUS8.93323,2_HCN4.10021,2_HES6.55502,2_HHLA2.11148,2_HIAT1.64645,2_HIBADH.11112,2_HIGD2A.192286,2_HIST1H3C.8352,2_HMGN1.3150,2_HMOX2.3163,2_HNF4A.3172,2_HOXB13.10481,2_HSH2D.84941,2_HSPA1B.3304,2_IDI2.91734,2_IFIH1.64135,2_IFT27.11020,2_IGF2BP1.10642,2_IGFBP1.3484,2_IGFN1.91156,2_IL20RB.53833,2_ING4.51147,2_INGX.27160,2_INTS6.26512,2_IPP.3652,2_ITFG3.83986,2_ITGA1.3672,2_ITGAE.3682,2_ITPA.3704,2_ITPRIPL2.162073,2_KCNH3.23416,2_KCNIP2.30819,2_KGFLP1.387628,2_KIAA0114.57291,2_KIAA0947.23379,2_KIAA1671.85379,2_KIF4B.285643,2_KIF5C.3800,2_KITLG.4254,2_KLF10.7071,2_KLHL23.151230,2_KLHL29.114818,2_KLHL33.123103,2_KRT12.3859,2_KRT19.3880,2_LATS2.26524,2_LCA5L.150082,2_LCTL.197021,2_LGALS12.85329,2_LILRA1.11024,2_LIMCH1.22998,2_LMO2.4005,2_LOC100128191.100128191,2_LOC100128640.100128640,2_LOC100132354.100132354,2_LOC100270804.100270804,2_LOC121952.121952,2_LOC253724.253724,2_LOC283050.283050,2_LOC285359.285359,2_LOC286467.286467,2_LOC339674.339674,2_LOC344595.344595,2_LOC572558.572558,2_LOC642826.642826,2_LOC651250.651250,2_LOC654342.654342,2_LOC729082.729082,2_LRCH3.84859,2_LRRC3B.116135,2_LRRC57.255252,2_LRRTM3.347731,2_LSM2.57819,2_LTF.4057,2_LTV1.84946,2_LUC7L3.51747,2_LYPD5.284348,2_MALAT1.378938,2_MAPK1IP1L.93487,2_MECP2.4204,2_MED11.400569,2_METTL3.56339,2_MGC12916.84815,2_MIER2.54531,2_MIOS.54468,2_MIOX.55586,2_MIR155HG.114614,2_MKI67IP.84365,2_MMP1.4312,2_MNT.4335,2_MOBP.4336,2_MOSC2.54996,2_MPPED2.744,2_MPZL3.196264,2_MRPL16.54948,2_MRPL17.63875,2_MRPL28.10573,2_MRPL34.64981,2_MRPL9.65005,2_MRS2P2.729633,2_MSC.9242,2_MSX2.4488,2_MTMR12.54545,2_MUM1L1.139221,2_MXD3.83463,2_MYH14.79784,2_MYLIP.29116,2_MYLPF.29895,2_NACC2.138151,2_NAP1L6.645996,2_NAT14.57106,2_NBEA.26960,2_NCAPG.64151,2_NCRNA00201.284702,2_NCRNA00204B.286967,2_NECAB3.63941,2_NEDD4L.23327,2_NET1.10276,2_NFE2L2.4780,2_NOP16.51491,2_NOSTRIN.115677,2_NPTXR.23467,2_NPY1R.4886,2_NSD1.64324,2_NUBP2.10101,2_NUDT5.11164,2_NUP93.9688,2_NUTF2.10204,2_OASL.8638,2_OAZ1.4946,2_OBSL1.23363,2_ONECUT2.9480,2_OPCML.4978,2_OR2G6.391211,2_OR7E37P.26636,2_OSBPL11.114885,2_OSM.5008,2_PABPC5.140886,2_PCDH11Y.83259,2_PCDH12.51294,2_PCGF6.84108,2_PCSK6.5046,2_PDCD6IP.10015,2_PDIA3P.171423,2_PDPK1.5170,2_PDXK.8566,2_PDZRN3.23024,2_PEX11A.8800,2_PEX6.5190,2_PGK1.5230,2_PHLDB3.653583,2_PIGL.9487,2_PIN1.5300,2_PIP5KL1.138429,2_PKHD1.5314,2_PKP2.5318,2_PLCL1.5334,2_PLEKHA1.59338,2_PLG.5340,2_PLIN2.123,2_PLN.5350,2_PLS1.5357,2_PMS2L3.5387,2_PMS2L5.5383,2_PNMA6A.84968,2_POLR2J2.246721,2_PPAN.P2RY11.692312,2_PPM1D.8493,2_PPP1R16B.26051,2_PRDM11.56981,2_PRDM8.56978,2_PRDM9.56979,2_PREB.10113,2_PROCA1.147011,2_PRX.57716,2_PSMC5.5705,2_PTEN.5728,2_PTER.9317,2_PTK2.5747,2_PTTG2.10744,2_PURG.29942,2_PWP2.5822,2_PYDC1.260434,2_PYGO2.90780,2_QRFPR.84109,2_RAB40A.142684,2_RAB8A.4218,2_RASGEF1B.153020,2_RAX2.84839,2_RBM38.55544,2_RCAN3.11123,2_RCC1.1104,2_RCHY1.25898,2_RECQL5.9400,2_REEP4.80346,2_RFC2.5982,2_RHOC.389,2_RNASE4.6038,2_RNF10.9921,2_RNF11.26994,2_RNF113A.7737,2_RNF13.11342,2_RNF175.285533,2_RNPS1.10921,2_ROMO1.140823,2_RPL28.6158,2_RPL38.6169,2_RPS14.6208,2_RPS16.6217,2_RPS6KA4.8986,2_RRAGC.64121,2_RTBDN.83546,2_RUNX1.861,2_SAA1.6288,2_SAMHD1.25939,2_SCARNA7.677767,2_SCARNA9.619383,2_SCNM1.79005,2_SCRN3.79634,2_SCXB.642658,2_SDCCAG3.10807,2_SDSL.113675,2_SEC61B.10952,2_SELK.58515,2_SEMA5B.54437,2_SEPP1.6414,2_SERPIND1.3053,2_SH2D2A.9047,2_SH3BP1.23616,2_SIRT1.23411,2_SKA2.348235,2_SKIL.6498,2_SLC12A6.9990,2_SLC18A2.6571,2_SLC25A27.9481,2_SLC25A37.51312,2_SLC5A6.8884,2_SLITRK4.139065,2_SLMAP.7871,2_SNORA39.677821,2_SNORA7B.677797,2_SNRPB.6628,2_SNX30.401548,2_SOX12.6666,2_SPARCL1.8404,2_SPC25.57405,2_SPINLW1.57119,2_SPRR2B.6701,2_SPTBN1.6711,2_SRP72.6731,2_SRRT.51593,2_SSBP4.170463,2_SSC5D.284297,2_SSX3.10214,2_STK11IP.114790,2_STK31.56164,2_STK35.140901,2_STMN4.81551,2_STON1.GTF2A1L.286749,2_STRADB.55437,2_STX10.8677,2_SUB1.10923,2_SWAP70.23075,2_SYNC.81493,2_SYT11.23208,2_SYT12.91683,2_SYT5.6861,2_SYT8.90019,2_TACO1.51204,2_TAF1B.9014,2_TAS2R19.259294,2_TCL6.27004,2_TERT.7015,2_TFE3.7030,2_TFPI.7035,2_TGIF1.7050,2_TGM1.7051,2_TIAF1.9220,2_TIGD1.200765,2_TIMP1.7076,2_TLR3.7098,2_TM7SF4.81501,2_TMC5.79838,2_TMED4.222068,2_TMED7.TICAM2.100302736,2_TMED9.54732,2_TMEM11.8834,2_TMEM120B.144404,2_TMEM134.80194,2_TMEM174.134288,2_TMEM208.29100,2_TMEM233.387890,2_TMEM42.131616,2_TMSB15B.286527,2_TMUB2.79089,2_TNFRSF10A.8797,2_TNFSF15.9966,2_TOMM6.100188893,2_TOP2A.7153,2_TOR1AIP2.163590,2_TOX4.9878,2_TP53I13.90313,2_TPTE2.93492,2_TRIM13.10206,2_TRIM16.10626,2_TRIM33.51592,2_TRMT11.60487,2_TSC2.7249,2_TSPAN1.10103,2_TSPAN12.23554,2_TSPYL4.23270,2_TTC39C.125488,2_TTC4.7268,2_TTLL1.25809,2_TTLL9.164395,2_TTYH1.57348,2_TUBA1B.10376,2_TUBA4B.80086,2_TUBG1.7283,2_TUSC3.7991,2_TXLNG.55787,2_UGT2B7.7364,2_UPK3B.80761,2_UROS.7390,2_USP2.9099,2_USP9X.8239,2_UTP11L.51118,2_VKORC1.79001,2_VPS53.55275,2_VSTM2B.342865,2_WASH5P.375690,2_WDR73.84942,2_WDR75.84128,2_WNT10A.80326,2_WNT10B.7480,2_XIAP.331,2_YAP1.10413,2_ZBTB16.7704,2_ZFP14.57677,2_ZFP161.7541,2_ZFP92.139735,2_ZFPM1.161882,2_ZNF350.59348,2_ZNF354A.6940,2_ZNF416.55659,2_ZNF524.147807,2_ZNF583.147949,2_ZNF702P.79986,2_ZNF709.163051,2_ZNF74.7625,2_ZNF791.163049,2_ZNRD1.30834,2_ZRANB2.9406,2_ZSWIM4.65249,2_ZXDB.158586
0,2,2,12,7,52,2,0,24,114,90,0,86,0,80,65,49,99,24,0,101,0,0,0,0,0,0,355,0,0,0,0,362,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,243,0,336,0,0,0,0,293,0,0,0,0,0,0,297,0,0,166,365,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,221,0,0,0,0,0,260,183,249,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,337,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,0,314,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,216,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,340,288,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,312,0,0,0,3,0,0,4,0,0,2,0,0,0,0,249,16,0,69,2,0,0,1,0,24,0,4,0,0,41,1,1,0,0,1,0,0,0,209,0,0,3,0,0,1,2,0,0,0,0,0,2,1,0,1,0,0,1,1,0,3,2,2,4,1,0,1,0,2,0,42,0,30,2,0,0,196,1,0,0,1,0,0,0,0,2,0,0,0,0,1,2,0,0,3,0,1,0,0,1,0,1,0,0,2,0,1,0,2,0,0,0,0,1,0,156,1,0,0,0,0,0,0,0,0,0,0,0,1,62,0,0,1,0,0,1,0,0,0,1,0,80,1,1,190,346,9,0,0,0,0,1,0,0,0,0,4,1,0,7,0,0,1,3,2,0,104,1,0,1,1,0,10,1,0,1,0,0,2,0,49,0,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,8,0,1,0,0,0,1,1,0,1,1,0,0,0,1,2,0,1,1,3,0,348,2,1,0,0,12,0,0,0,1,4,0,7,6,125,0,2,0,0,0,2,2,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4,0,4,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,338,24,3,0,0,0,1,0,0,0,0,0,333,0,0,391,0,2,0,0,0,7,0,0,44,1,0,8,0,0,5,1,0,1,0,0,75,0,0,0,0,1,0,0,2,0,0,21,0,0,0,16,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,0,1,0,0,0,0,0,0,37,1,0,2,1,0,0,1,1,1,1,1,3,0,0,0,0,337,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,8,0,1,1,4,0,0,3,0,1,1,1,364,0,0,0,1,0,0,0,2,0,0,0,5,1,2,0,0,0,8,0,1,51,0,0,3,0,1,0,0,1,1,0,0,9,0,1,0,1,0,3,0,0,0,0,1,345,1,1,0,5,0,0,0,1,0,6,0,0,1,0,0,0,0,0,1,0,0,2,1,1,0,0,0,2,0,0,1,1,0,0,6,72,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,4,1,0,0,0,1,1,9,0,0,9,257,0,336,1,0,0,1,1,0,0,5,1,2,0,2,24,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,4
200,0,0,408,0,0,0,0,0,0,0,7,0,0,0,0,0,0,272,16,0,68,0,2,3,0,0,4,5,0,0,1,2,0,0,1,0,0,0,1,1,251,0,0,0,1,1,0,5,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,43,1,20,0,2,0,263,0,1,0,0,1,0,0,0,0,1,0,1,1,0,2,1,0,2,1,0,0,1,0,2,0,1,0,1,1,1,1,1,0,0,0,3,0,1,156,0,0,2,0,1,0,1,0,1,0,0,0,5,43,1,0,0,1,0,1,0,0,1,0,2,151,0,1,91,360,5,1,3,2,2,0,2,0,2,0,4,0,1,0,0,1,0,0,0,2,127,0,0,0,0,1,0,0,0,0,1,0,0,0,18,0,0,0,0,0,1,3,0,16,0,0,2,1,0,1,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,4,1,2,0,2,3,0,1,0,0,0,1,3,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,338,93,0,2,1,4,2,0,0,0,0,1,0,3,217,0,1,0,0,2,0,1,0,0,1,1,13,0,11,9,2,1,4,0,1,0,1,0,0,5,0,2,0,4,0,0,2,3,1,0,1,0,1,1,7,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,341,31,2,1,1,0,0,1,0,1,4,1,336,0,0,398,0,0,0,2,1,0,28,2,40,1,1,1,0,0,1,0,0,0,0,1,9,1,2,0,1,0,1,0,0,0,0,236,1,4,1,0,1,1,0,2,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,61,0,1,1,0,0,2,0,0,0,0,0,26,9,0,1,3,348,0,0,0,0,0,5,30,0,0,0,0,1,2,5,1,1,1,5,0,162,0,0,0,0,1,1,8,0,0,0,0,0,1,0,1,0,3,0,0,5,0,0,0,0,0,0,0,371,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,1,1,0,27,16,4,0,0,0,0,1,0,2,0,0,0,1,1,1,1,1,0,0,1,1,0,0,364,0,1,6,5,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,1,1,2,0,1,6,1,0,1,0,0,1,0,2,0,0,1,0,4,0,0,1,0,1,0,0,0,2,0,0,0,0,6,0,0,2,1,1,0,272,1,352,0,0,0,3,0,1,1,0,0,0,0,0,2,1,1,0,0,0,2,0,1,0,0,2,0,2,2,1,0,0
299,0,0,425,0,0,0,0,0,0,0,5,0,0,0,0,0,0,240,30,0,78,0,2,0,0,1,2,0,0,1,0,0,0,0,0,2,0,1,0,0,227,0,1,0,2,0,0,5,4,1,1,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,2,0,0,37,0,25,0,0,1,245,0,0,4,0,0,1,1,1,0,2,2,0,0,0,0,0,1,2,0,0,2,0,0,3,0,0,2,0,0,0,0,1,1,1,1,1,0,0,152,0,2,0,1,2,5,3,1,0,1,1,0,6,9,0,1,0,0,0,0,1,1,1,0,0,128,0,0,66,381,1,0,3,0,0,0,1,1,0,1,5,0,1,0,1,0,0,0,0,0,114,0,1,0,0,0,0,0,1,0,1,1,0,1,13,1,0,0,0,1,0,6,1,33,0,1,2,1,1,1,1,1,0,0,0,1,0,1,2,2,0,0,0,1,0,0,0,3,1,1,0,5,0,5,3,0,0,3,1,0,0,1,0,0,1,2,0,0,0,1,0,0,0,2,326,144,0,0,0,2,0,4,0,0,0,0,0,3,199,0,0,0,1,1,0,6,2,1,1,1,58,0,7,0,2,0,0,1,0,1,0,1,1,3,0,2,2,51,2,0,0,4,0,0,0,2,1,0,0,2,1,1,0,0,0,0,1,0,0,0,0,2,0,1,327,48,1,0,3,1,0,0,2,0,0,0,325,1,1,405,1,0,2,3,0,0,5,0,91,1,2,0,1,2,0,0,0,0,2,0,14,0,0,2,1,0,0,2,0,6,3,229,1,0,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,3,0,0,0,0,1,1,1,1,3,87,0,0,1,0,1,0,0,0,0,0,0,24,2,2,0,0,328,0,1,1,4,4,2,62,0,1,0,0,0,0,3,0,0,0,22,1,186,1,1,1,1,0,0,0,1,2,0,1,0,0,3,0,0,5,0,0,0,1,1,0,1,0,0,0,345,9,0,1,0,1,1,0,0,1,5,0,0,0,0,2,0,1,0,0,0,14,21,1,0,1,0,1,0,0,0,1,9,0,0,0,0,1,0,0,2,0,0,1,0,341,0,0,0,0,2,1,0,0,0,0,1,0,0,1,1,0,3,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,11,0,0,1,0,0,0,279,2,331,0,1,1,0,0,0,3,0,0,0,2,0,0,2,0,1,0,0,0,1,0,0,2,2,3,0,0,0,0,0
