Optimizer,Objective,Fold0,Fold1,Fold2,Fold3,Fold4
NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,1.0,1.0,-1.0,-1.0,1.0
NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.1933333333333333,-0.42292490118577075,-0.24637681159420288,-0.26666666666666666,-0.2820512820512821
NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.46666666666666656,-0.14797178180801124,-0.41880341880341887,-0.32608695652173914,-0.2813852813852814
NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.2121212121212121,-0.12000000000000001,-0.23809523809523808,-0.2679738562091504,-0.1630769230769231
NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
Sw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.27485380116959063,-0.2205882352941176,-0.2941176470588236,-0.31666666666666665,-0.27485380116959063
Sw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
Sw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.31666666666666665,-0.20000000000000004,-0.13235294117647056,-0.049999999999999996,0.1515151515151515
Sw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
Sw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.3684210526315789,0.25263157894736843,-0.43809523809523815,-0.33333333333333337,-0.4458874458874459
Sw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
SwT NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.37999999999999995,-0.28063241106719367,0.014492753623188406,-0.27333333333333326,-0.4861660079051383
SwT NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
SwT NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.4152046783625731,-0.18115942028985507,-0.3142857142857143,-0.5072463768115942,-0.1695906432748538
SwT NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
SwT NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.5869565217391304,-0.12169312169312169,-0.557312252964427,-0.12631578947368421,-0.49473684210526314
SwT NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
CSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.24999999999999997,-0.10582010582010583,-0.37566137566137564,-0.6095238095238096,-0.1857707509881423
CSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
CSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.52046783625731,-0.2631578947368421,-0.4940711462450593,-0.5047619047619049,-0.22943722943722944
CSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
CSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.43722943722943725,-0.4736842105263158,-0.6399999999999998,-0.6304347826086957,-0.2133333333333333
CSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
LCSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.33333333333333337,-0.41501976284584985,-0.4761904761904762,-0.6380952380952382,-0.29004329004329005
LCSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
LCSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.4476190476190477,-0.14619883040935672,-0.5133333333333333,-0.513846153846154,-0.1619047619047619
LCSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
LCSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.36231884057971014,-0.3939393939393939,-0.5757575757575758,-0.5163398692810458,-0.39047619047619053
LCSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
