Optimizer,Objective,Fold0,Fold1,Fold2,Fold3,Fold4
NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,1.0,1.0,-1.0,-1.0,1.0
NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,0.03959411748377489,-0.4356597604725925,-0.14673780765768776,-0.3084017734049411,-0.4664730700297851
NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.24418042905562445,-0.25401354821635724,-0.5083122530479491,-0.26469093141874706,-0.17153145970064937
NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,0.32104902286775877,0.16277887483764938,-0.38284790022171783,-0.40088980225205184,-0.43284054743443795
NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
Sw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,0.1571902415068696,0.09610663652119272,-0.20541224629801574,-0.2778889666494868,-0.4071264336513916
Sw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
Sw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,0.15496186156866204,0.0005375670707274682,0.01917181846498059,-0.015112217524597876,0.2500957124796893
Sw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
Sw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.06247556355344103,0.587620521703188,-0.44874479120637234,-0.1837294413423305,-0.5869773526150767
Sw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
SwT NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.05245902092977703,-0.22896784582802795,-0.18423953674964108,-0.3543371366460313,-0.5841213415350947
SwT NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
SwT NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.1268503544766255,-0.13477005290068142,-0.14717594295513547,-0.4349582837356857,0.09298896365621845
SwT NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
SwT NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.2321703589240579,0.304752324831671,-0.43822509182298963,-0.43041989160031974,-0.5945280417633296
SwT NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
CSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,0.07267193115277784,-0.12937144188625885,-0.47219577649230376,-0.5587217807178773,-0.5445818341381876
CSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
CSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.10804889259530423,0.013766319220987255,-0.4301980905041015,-0.5037134607271168,-0.16734893518917487
CSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
CSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.14669709221491328,-0.3925925293607069,-0.6808994305409366,-0.6199513707849273,-0.4674249029460197
CSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
LCSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.10233794915733105,-0.3456741420579685,-0.39023856327191175,-0.6158414279297665,-0.6787437383362299
LCSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
LCSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.23186619128743963,0.002780143034081306,-0.460533979381951,-0.46526565099917316,-0.041022875190977026
LCSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
LCSw NSGA3-CHS ANOVA 0.05,SKSurvCox_c-index,-0.2055827052066248,-0.4363336634815223,-0.5074492246942912,-0.4569553105914679,-0.6753158801134987
LCSw NSGA3-CHS ANOVA 0.05,root_leanness,,,,,
