0_ABCC2,0_C10orf93,0_CRCT1,0_FADS1,0_FAM134B,0_FOXA1,0_GRB7,0_HNRNPH3,0_IFT140,0_MAMDC2,0_OR52E4,0_PTK2,0_RERG,0_SCAP,0_SFRP1,0_SLITRK1,0_SUSD3,0_TBC1D9,0_TPX2,0_ZFP57
1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0
1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1
1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0
1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0
1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0
0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0
0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0
0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
