,outcome
GSM2722881,OVCA.Immunoreactive
GSM2722883,OVCA.Immunoreactive
GSM2722885,OVCA.Immunoreactive
GSM2722888,OVCA.Immunoreactive
GSM2722890,OVCA.Differentiated
GSM2722892,OVCA.Proliferative
GSM2722894,OVCA.Immunoreactive
GSM2722896,OVCA.Differentiated
GSM2722898,OVCA.Mesenchymal
GSM2722900,OVCA.Differentiated
GSM2722902,OVCA.Immunoreactive
GSM2722905,OVCA.Immunoreactive
GSM2722907,OVCA.Differentiated
GSM2722909,OVCA.Differentiated
GSM2722911,OVCA.Immunoreactive
GSM2722913,OVCA.Mesenchymal
GSM2722915,OVCA.Immunoreactive
GSM2722923,OVCA.Mesenchymal
GSM2722926,OVCA.Differentiated
GSM2722928,OVCA.Proliferative
GSM2722930,OVCA.Mesenchymal
GSM2722932,OVCA.Mesenchymal
GSM2722934,OVCA.Immunoreactive
GSM2722936,OVCA.Mesenchymal
GSM2722938,OVCA.Mesenchymal
GSM2722940,OVCA.Proliferative
GSM2722942,OVCA.Differentiated
GSM2722944,OVCA.Proliferative
GSM2722946,OVCA.Mesenchymal
GSM2722948,OVCA.Proliferative
GSM2722950,OVCA.Immunoreactive
GSM2722952,OVCA.Proliferative
GSM2722955,OVCA.Mesenchymal
GSM2722957,OVCA.Mesenchymal
GSM2722959,OVCA.Mesenchymal
GSM2722961,OVCA.Immunoreactive
GSM2722963,OVCA.Mesenchymal
GSM2722966,OVCA.Proliferative
GSM2722968,OVCA.Mesenchymal
GSM2722970,OVCA.Mesenchymal
GSM2722972,OVCA.Mesenchymal
GSM2722974,OVCA.Mesenchymal
GSM2722976,OVCA.Proliferative
GSM2722978,OVCA.Proliferative
GSM2722980,OVCA.Proliferative
GSM2722982,OVCA.Proliferative
GSM2722984,OVCA.Mesenchymal
GSM2722986,OVCA.Immunoreactive
GSM2722988,OVCA.Proliferative
GSM2722990,OVCA.Immunoreactive
GSM2722992,OVCA.Differentiated
GSM2722994,OVCA.Immunoreactive
GSM2722996,OVCA.Differentiated
GSM2722998,OVCA.Differentiated
GSM2723000,OVCA.Differentiated
GSM2723002,OVCA.Immunoreactive
GSM2723004,OVCA.Mesenchymal
GSM2723006,OVCA.Mesenchymal
GSM2723008,OVCA.Differentiated
GSM2723011,OVCA.Differentiated
GSM2723013,OVCA.Mesenchymal
GSM2723014,OVCA.Proliferative
GSM2723016,OVCA.Differentiated
GSM2723019,OVCA.Immunoreactive
GSM2723021,OVCA.Immunoreactive
GSM2723023,OVCA.Proliferative
GSM2723026,OVCA.Mesenchymal
GSM2723027,OVCA.Mesenchymal
GSM2723029,OVCA.Mesenchymal
GSM2723031,OVCA.Differentiated
GSM2723033,OVCA.Mesenchymal
GSM2723035,OVCA.Proliferative
GSM2723038,OVCA.Immunoreactive
GSM2723040,OVCA.Proliferative
GSM2723042,OVCA.Mesenchymal
GSM2723044,OVCA.Immunoreactive
GSM2723046,OVCA.Differentiated
GSM2723048,OVCA.Mesenchymal
GSM2723050,OVCA.Immunoreactive
GSM2723052,OVCA.Differentiated
GSM2723054,OVCA.Proliferative
GSM2723056,OVCA.Mesenchymal
