0_ATP6V1H,0_CAPN1,0_CBX3,0_CDKN2C,0_CHST15,0_DSG2,0_EIF3CL,0_FABP7,0_FBXO5,0_FUCA1,0_GTF2E2,0_GTPBP2,0_HNRNPA2B1,0_INTS8,0_KCND1,0_KCTD16,0_KIF18A,0_LYPLAL1,0_MAP3K7,0_NAPSA,0_NBEA,0_NUP62,0_PICALM,0_PLEK2,0_PLS3,0_PSMD3,0_RNASET2,0_SLC16A1,0_SLC39A6,0_SLC7A5,0_SLMAP,0_SMPD3,0_SOCS3,0_SULT1C2,0_TMEM192,0_TRAIP,0_TUFT1,0_UPK3B,0_UTP6,0_ZNF580
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
