0_CCT6B,0_CHAC1,0_CHI3L2,0_CPE,0_DR1,0_ELOVL7,0_FAM53A,0_FBXO21,0_INTS8,0_KIF18A,0_KTN1,0_LCMT2,0_LSM12,0_MPV17L,0_NCOA7,0_P4HB,0_PCCA,0_PDHA1,0_POU3F3,0_RNASET2,0_SERPINA3,0_SHMT2,0_SPAG5,0_TMEM132E,0_TRA2B,0_UBE2H,0_UCK1,0_XK,0_ZMAT3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1
1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0
