0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_ADH5.128,1_ALDH18A1.5832,1_AMOT.154796,1_ARL6IP4.51329,1_ASNS.440,1_BBOX1.8424,1_C11orf54.28970,1_C12orf47.51275,1_C15orf42.90381,1_C16orf57.79650,1_CBX4.8535,1_CCDC121.79635,1_CCM2.83605,1_CDKL2.8999,1_CEP55.55165,1_CHAC2.494143,1_CHDH.55349,1_CKAP4.10970,1_COL7A1.1294,1_COQ3.51805,1_CWF19L2.143884,1_CYP3A4.1576,1_CYP3A7.1551,1_DGUOK.1716,1_DNAJB11.51726,1_E2F4.1874,1_EME1.146956,1_EN2.2020,1_FAM131A.131408,1_FAM160A1.729830,1_FAM72B.653820,1_FNBP1L.54874,1_FOXA2.3170,1_FOXP4.116113,1_GIPC2.54810,1_GLT25D1.79709,1_GPR172A.79581,1_GRAMD1C.54762,1_HDAC1.3065,1_HHLA2.11148,1_HNRNPAB.3182,1_HNRNPC.3183,1_KIAA1549.57670,1_KIF4B.285643,1_KPTN.11133,1_LOC100134713.100134713,1_LRP2.4036,1_MANBAL.63905,1_MEMO1.51072,1_MERTK.10461,1_METTL7A.25840,1_NLGN2.57555,1_NOC4L.79050,1_NUDT5.11164,1_PINK1.65018,1_PPP1R1A.5502,1_PRKCE.5581,1_PTTG1.9232,1_PYCR1.5831,1_RASSF6.166824,1_RGNEF.64283,1_RPL13A.23521,1_RPL27A.6157,1_SCP2.6342,1_SETD3.84193,1_SF3B4.10262,1_SHROOM3.57619,1_SKA1.220134,1_SLC16A12.387700,1_SLC22A6.9356,1_SLC4A3.6508,1_SNRPC.6631,1_SPOCD1.90853,1_SRM.6723,1_STON1.GTF2A1L.286749,1_STRADA.92335,1_THOC4.10189,1_TMLHE.55217,1_TOP2A.7153,1_UGT2A3.79799,1_USP2.9099,1_WDR62.284403,1_WDR72.256764,1_ZIC2.7546,1_ZMYND19.116225,1_ZNF14.7561
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
