0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_ACOT8.10005,1_APOOL.139322,1_AR.367,1_ARFGAP1.55738,1_ARID5B.84159,1_AUP1.550,1_BCL2L12.83596,1_BID.637,1_BRAF.673,1_BUD31.8896,1_C12orf45.121053,1_C17orf37.84299,1_C17orf90.339229,1_C19orf36.113177,1_C19orf66.55337,1_C3orf75.54859,1_C6orf186.728464,1_CDRT4.284040,1_COQ3.51805,1_DCAF11.80344,1_DDX24.57062,1_DDX60.55601,1_DMXL1.1657,1_DNASE1L3.1776,1_DONSON.29980,1_DUS1L.64118,1_DUSP9.1852,1_DYRK4.8798,1_EMCN.51705,1_F2RL1.2150,1_FAM128A.653784,1_FKBP4.2288,1_HAMP.57817,1_HNRNPAB.3182,1_HOXA2.3199,1_HPX.3263,1_IRF3.3661,1_JTB.10899,1_KDSR.2531,1_KIAA0586.9786,1_KIAA1109.84162,1_LIN54.132660,1_LOC388796.388796,1_LOC80154.80154,1_LRCH4.4034,1_MARS.4141,1_MRPL27.51264,1_NFIB.4781,1_NLGN2.57555,1_NPFF.8620,1_NRBP1.29959,1_OTUD7A.161725,1_PAEP.5047,1_PEX11A.8800,1_PIPSL.266971,1_PODXL.5420,1_PRKRIP1.79706,1_PSMB4.5692,1_PTTG2.10744,1_RDM1.201299,1_ROBLD3.28956,1_ROCK2.9475,1_RORA.6095,1_SIPA1L1.26037,1_SKA1.220134,1_SLC4A5.57835,1_SLC5A12.159963,1_SORBS2.8470,1_SPC25.57405,1_SRCRB4D.136853,1_STON1.GTF2A1L.286749,1_SYN3.8224,1_TAS2R20.259295,1_TBCE.6905,1_TCIRG1.10312,1_TDRD7.23424,1_TJP2.9414,1_TMEM200C.645369,1_TOR3A.64222,1_TTLL9.164395,1_TXNDC17.84817,1_UBTD1.80019,1_VPS13B.157680,1_WDR7.23335,1_ZNF549.256051,1_ZNF770.54989
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
