0_ADCYAP1,0_ATPAF2,0_ATXN3L,0_C11orf92,0_C12orf39,0_C1QL2,0_C21orf29,0_C21orf90,0_C3orf39,0_C6orf142,0_CCDC24,0_CDC45,0_CEL,0_CLEC6A,0_CRISP3,0_CYP4B1,0_DIAPH3,0_EDA2R,0_FBXL18,0_FOXN3,0_FOXQ1,0_FXYD6,0_GOSR2,0_GREB1L,0_HBA1,0_HES5,0_HMGB3,0_HTR1D,0_IGSF9,0_ITPR1,0_JRK,0_KIF1A,0_L1CAM,0_LOC100287227,0_LRRC55,0_MAFG,0_MET,0_MMP12,0_NCRNA00115,0_NFE2,0_OR10A4,0_PMS2L2,0_POM121L8P,0_PON3,0_PRIMA1,0_ROBO2,0_RUSC2,0_RYR3,0_SEPT12,0_SERPINA1,0_SLC14A2,0_SLC25A41,0_SLC6A3,0_SLITRK3,0_SNHG5,0_SNX22,0_SNX4,0_SPATS2,0_TARBP1,0_TIGD5,0_TMEM31,0_TOX3,0_TTC21B,0_TTYH1,0_TYRP1,0_UBE2S,0_UBE4A,0_UGDH,0_VSIG1,0_WASF3,0_WDR83,0_ZNF75D,0_ZP1,0_psiTPTE22
1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1
1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1
1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1
1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1
1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1
1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1
1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1
1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1
1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1
1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1
