inner_cv_SKSurvCox_c-index,inner_cv_root_leanness,train_SKSurvCox_c-index,train_root_leanness,test_SKSurvCox_c-index,test_root_leanness
,0.1643989873053573,0.9169179430220691,0.1643989873053573,0.4508313578321223,0.1643989873053573
,0.16666666666666666,0.9185603500055294,0.16666666666666666,0.44833080515407686,0.16666666666666666
,0.17407765595569785,0.9066920743970398,0.17407765595569785,0.4599436840969003,0.17407765595569785
,0.1767766952966369,0.9135348368308245,0.1767766952966369,0.4873935608126534,0.1767766952966369
,0.1796053020267749,0.9130156266380628,0.1796053020267749,0.47948761760294517,0.1796053020267749
,0.18569533817705186,0.9026647346309267,0.18569533817705186,0.44104926540769024,0.18569533817705186
,0.1889822365046136,0.9093175075783669,0.1889822365046136,0.4806695579458254,0.1889822365046136
,0.19245008972987526,0.9047722484392519,0.19245008972987526,0.4846070811744387,0.19245008972987526
,0.25,0.7903215085437434,0.25,0.4032116585053549,0.25
,0.2581988897471611,0.8029762881895516,0.2581988897471611,0.38316846771540913,0.2581988897471611
,0.2672612419124244,0.8085689478701296,0.2672612419124244,0.3988159273867039,0.2672612419124244
,0.2773500981126146,0.7850290689745643,0.2773500981126146,0.3723498198364062,0.2773500981126146
,0.28867513459481287,0.7784081405758568,0.28867513459481287,0.4013727401389941,0.28867513459481287
,0.30151134457776363,0.7881494878176278,0.30151134457776363,0.5643257283156874,0.30151134457776363
,0.31622776601683794,0.7649699757046096,0.31622776601683794,0.5354815830760389,0.31622776601683794
,0.3333333333333333,0.7631630469884367,0.3333333333333333,0.5826252328423841,0.3333333333333333
,0.3535533905932738,0.7664534969091352,0.3535533905932738,0.5513896208485536,0.3535533905932738
,0.3779644730092272,0.740733772394561,0.3779644730092272,0.43696926934485514,0.3779644730092272
,0.408248290463863,0.7357542694499396,0.408248290463863,0.5211725513834529,0.408248290463863
,0.4472135954999579,0.7287998437188469,0.4472135954999579,0.5239317495068617,0.4472135954999579
,0.5,0.7129691207173608,0.5,0.5246097586677217,0.5
,0.5773502691896257,0.6586380532626686,0.5773502691896257,0.5194556716282264,0.5773502691896257
,0.7071067811865476,0.6321083473668221,0.7071067811865476,0.4828996819811156,0.7071067811865476
,1.0,0.5,1.0,0.5,1.0
