0_ARHGEF1,0_C18orf32,0_C19orf33,0_C6orf97,0_CDC45,0_CENPL,0_CEP55,0_EXO1,0_FOXC1,0_GFRA1,0_GPR77,0_ISL2,0_NCAPG,0_OTUD7B,0_PPP1R14C,0_TBC1D9,0_TPRG1,0_ZNF230,0_ZNF496,0_ZP2
1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1
1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0
0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1
0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
