0_AURKA,0_C4orf12,0_COL17A1,0_ESR1,0_F2RL2,0_FAM110B,0_FOXC1,0_GPR77,0_LAMP2,0_MICALL2,0_MLPH,0_OCRL,0_RERG,0_SLC25A23,0_SNX29,0_TPX2,0_WDR67,0_XPO6
1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1
1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0
1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0
1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
