0_ARRDC1,0_AURKA,0_AURKB,0_C6orf97,0_CCNB2,0_CD46,0_FLJ43950,0_FOXC1,0_GOLGB1,0_GPR77,0_HNF1A,0_IL12RB2,0_ISL2,0_KIR2DS4,0_KRT4,0_LOC145837,0_MIA,0_NQO1,0_PDE2A,0_PIWIL2,0_UBE2C,0_WDR67,0_ZBTB5,0_ZWINT
1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0
0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0
0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1
0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
