0_age_at_initial_pathologic_diagnosis,1_AK7.122481,1_ALDOC.230,1_AOX1.316,1_ASF1B.55723,1_ASPM.259266,1_BDKRB2.624,1_C4orf42.92070,1_CCDC28B.79140,1_CCDC46.201134,1_CCNA2.890,1_CCNY.219771,1_CDC20B.166979,1_CDKN2BAS.100048912,1_CEP135.9662,1_CHCHD1.118487,1_CLSPN.63967,1_COQ10B.80219,1_CPA4.51200,1_CUL7.9820,1_CUTC.51076,1_CXCL1.2919,1_DGCR6.8214,1_EEF1D.1936,1_EFHB.151651,1_EFNB1.1947,1_EIF2AK4.440275,1_FADS3.3995,1_FAM110B.90362,1_FAU.2197,1_FMOD.2331,1_FOLR4.390243,1_GABBR1.2550,1_GATA5.140628,1_GPR156.165829,1_GPR171.29909,1_GPRASP1.9737,1_GPX8.493869,1_HILS1.373861,1_HIST1H2BH.8345,1_HIST1H2BJ.8970,1_HOXA3.3200,1_HOXA5.3202,1_HOXA7.3204,1_HTR1D.3352,1_HTRA3.94031,1_IKZF5.64376,1_IQGAP2.10788,1_KLHDC7A.127707,1_KLHL25.64410,1_KLHL26.55295,1_MEST.4232,1_MFAP4.4239,1_MPDU1.9526,1_MYD88.4615,1_NDST4.64579,1_OAT.4942,1_P2RX1.5023,1_PARVB.29780,1_PDGFA.5154,1_PHTF1.10745,1_PHYHIPL.84457,1_PLD3.23646,1_PTK2B.2185,1_RAD18.56852,1_RIPK2.8767,1_RPA3.6119,1_SARDH.1757,1_SEPT6.23157,1_SLC27A3.11000,1_SNCAIP.9627,1_SPRED2.200734,1_TACR2.6865,1_TMPRSS3.64699,1_TNFAIP8L1.126282,1_TRIM16L.147166,1_TRMT2B.79979,1_TSTD1.100131187,1_TTLL10.254173,1_UBL4A.8266,1_ULBP3.79465,1_UPF3A.65110,1_WEE1.7465,1_ZDHHC22.283576,1_ZNF630.57232,1_ZNF648.127665,1_ZNF737.100129842
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
