0_age_at_initial_pathologic_diagnosis,1_AGPAT1.10554,1_ALDH1L1.10840,1_AMOTL2.51421,1_ATP5G2.517,1_BCCIP.56647,1_BMP2.650,1_C17orf77.146723,1_C20orf72.92667,1_C22orf27.150291,1_C22orf32.91689,1_C3orf30.152405,1_C4orf42.92070,1_C6orf48.50854,1_CBFA2T2.9139,1_CD101.9398,1_CDKN2BAS.100048912,1_CENPO.79172,1_CHRND.1144,1_CLSPN.63967,1_COL8A1.1295,1_CPEB2.132864,1_DGCR6.8214,1_DNAJC5B.85479,1_EFHB.151651,1_EML4.27436,1_EPS8L2.64787,1_EVC.2121,1_FAM19A3.284467,1_FAU.2197,1_FBXO17.115290,1_FGGY.55277,1_FLJ36000.284124,1_FMOD.2331,1_FOXI3.344167,1_FXYD2.486,1_GCLC.2729,1_GLA.2717,1_GPR1.2825,1_GPR156.165829,1_GSTA1.2938,1_GSTA4.2941,1_GSX2.170825,1_HILS1.373861,1_HNRNPA1L2.144983,1_KCNJ13.3769,1_KCNN2.3781,1_KIF20A.10112,1_KLHL21.9903,1_KLHL25.64410,1_LAMA2.3908,1_LAMC1.3915,1_LATS2.26524,1_LMX1A.4009,1_LOC285401.285401,1_LOC647946.647946,1_LPIN2.9663,1_LRRC27.80313,1_LTF.4057,1_MAPT.4137,1_MFAP4.4239,1_MRPL38.64978,1_MRPS16.51021,1_PCCA.5095,1_PCGF2.7703,1_PEX5.5830,1_PHTF1.10745,1_PPP1R1A.5502,1_PRSS35.167681,1_PYCR1.5831,1_RAB18.22931,1_RASL10A.10633,1_RPL12.6136,1_RPL4.6124,1_SEL1L3.23231,1_SFXN2.118980,1_SLC27A3.11000,1_TAS2R50.259296,1_TGIF1.7050,1_TMEM61.199964,1_TRAF5.7188,1_UPK2.7379,1_VDR.7421,1_WEE1.7465,1_ZNF217.7764,1_ZNF648.127665,1_ZNF816A.125893
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
