0_age_at_initial_pathologic_diagnosis,1_ACBD5.91452,1_C13orf29.283487,1_C6orf58.352999,1_CALN1.83698,1_CBARA1.10367,1_CCDC85C.317762,1_CDC20B.166979,1_CDC42EP3.10602,1_CDK17.5128,1_CDKN2C.1031,1_CEP135.9662,1_COX15.1355,1_CPA4.51200,1_DLL3.10683,1_EFHB.151651,1_EIF3H.8667,1_ELK1.2002,1_EMILIN2.84034,1_FBXW4.6468,1_GALNT3.2591,1_GCAT.23464,1_GJC1.10052,1_GMPR2.51292,1_HADHA.3030,1_HILS1.373861,1_HOXC6.3223,1_INPP1.3628,1_IQGAP2.10788,1_KDELC2.143888,1_LAMC1.3915,1_LCAT.3931,1_LOC647946.647946,1_MBIP.51562,1_MCM8.84515,1_METTL7B.196410,1_MN1.4330,1_MSRB2.22921,1_MXI1.4601,1_NDEL1.81565,1_OPN3.23596,1_PCDHB1.29930,1_PDGFA.5154,1_PER3.8863,1_PLAC1.10761,1_PLK4.10733,1_POLL.27343,1_PSRC1.84722,1_PTGFRN.5738,1_RAD18.56852,1_RCOR2.283248,1_SEL1L3.23231,1_SHD.56961,1_SMC4.10051,1_SNAI2.6591,1_SNTB2.6645,1_STARD10.10809,1_SULF2.55959,1_TCF19.6941,1_TCF25.22980,1_TDH.157739,1_TIMP1.7076,1_TNK2.10188,1_TRIM14.9830,1_TRMT2B.79979,1_UQCRB.7381,1_VWDE.221806,1_WEE1.7465,1_ZAK.51776,1_ZNF32.7580,1_ZNF630.57232,1_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
