"","outcome"
"35","PRCC"
"56","PRCC"
"67","PRCC"
"92","PRCC"
"134","PRCC"
"198","PRCC"
"251","PRCC"
"270","PRCC"
"277","PRCC"
"283","PRCC"
"293","PRCC"
"333","PRCC"
"344","PRCC"
"352","PRCC"
"360","PRCC"
"374","PRCC"
"398","PRCC"
"409","PRCC"
"416","PRCC"
"448","PRCC"
"478","PRCC"
"486","PRCC"
"494","PRCC"
"498","PRCC"
"524","PRCC"
"534","PRCC"
"577","PRCC"
"594","PRCC"
"601","PRCC"
"636","PRCC"
"677","PRCC"
"716","PRCC"
"721","PRCC"
"765","PRCC"
"781","PRCC"
"910","PRCC"
"918","PRCC"
"934","PRCC"
"947","PRCC"
"1097","PRCC"
"1157","PRCC"
"1187","PRCC"
"1194","PRCC"
"1202","PRCC"
"1213","PRCC"
"1240","PRCC"
"1264","PRCC"
"1291","PRCC"
"1314","PRCC"
"1316","PRCC"
"1354","PRCC"
"1385","PRCC"
"1392","PRCC"
"1404","PRCC"
"1452","PRCC"
"1468","PRCC"
"1490","PRCC"
"1493","PRCC"
"1506","PRCC"
"1516","PRCC"
"1542","PRCC"
"1547","PRCC"
"1552","PRCC"
"1657","PRCC"
"1679","PRCC"
"1697","PRCC"
"1715","PRCC"
"1732","PRCC"
"1770","PRCC"
"1825","PRCC"
"1869","PRCC"
"1898","PRCC"
"1906","PRCC"
"1962","PRCC"
"1982","PRCC"
"1989","PRCC"
"2032","PRCC"
"2057","PRCC"
"2088","PRCC"
"2095","PRCC"
"2098","PRCC"
"2113","PRCC"
"2220","PRCC"
"2232","PRCC"
"2244","PRCC"
"2325","PRCC"
"2359","PRCC"
"2384","PRCC"
"2390","PRCC"
"2433","PRCC"
"2488","PRCC"
"2494","PRCC"
"2501","PRCC"
"2517","PRCC"
"2518","PRCC"
"2521","PRCC"
"2528","PRCC"
"2529","PRCC"
"2548","PRCC"
"2562","PRCC"
"2578","PRCC"
"2680","PRCC"
"2731","PRCC"
"2742","PRCC"
"2743","PRCC"
"2770","PRCC"
"2778","PRCC"
"2785","PRCC"
"2792","PRCC"
"2807","PRCC"
"2896","PRCC"
"2912","PRCC"
"2914","PRCC"
"2954","PRCC"
"2974","PRCC"
"2988","PRCC"
"3024","PRCC"
"3056","PRCC"
"3092","PRCC"
"3100","PRCC"
"3121","PRCC"
"3195","PRCC"
"3198","PRCC"
"3200","PRCC"
"3243","PRCC"
"3251","PRCC"
"3316","PRCC"
"3319","PRCC"
"3333","PRCC"
"3413","PRCC"
"3426","PRCC"
"3471","PRCC"
"3486","PRCC"
"3491","PRCC"
"3513","PRCC"
"3554","PRCC"
"3576","PRCC"
"3608","PRCC"
"3610","PRCC"
"3627","PRCC"
"3657","PRCC"
"3660","PRCC"
"3663","PRCC"
"3673","PRCC"
"3687","PRCC"
"3722","PRCC"
"3778","PRCC"
"3815","PRCC"
"3850","PRCC"
"3867","PRCC"
"3886","PRCC"
"3904","PRCC"
"3923","PRCC"
"3938","PRCC"
"3962","PRCC"
"3964","PRCC"
"4013","PRCC"
"4036","PRCC"
"4146","PRCC"
"4192","PRCC"
"4213","PRCC"
"4227","PRCC"
"4238","PRCC"
"4260","PRCC"
"4261","PRCC"
"4264","PRCC"
"4280","PRCC"
"4281","PRCC"
"4292","PRCC"
"4354","PRCC"
"4389","PRCC"
"4429","PRCC"
"4441","PRCC"
"4468","PRCC"
"4493","PRCC"
"4509","PRCC"
"4527","PRCC"
"4586","PRCC"
"4599","PRCC"
"4618","PRCC"
"4619","PRCC"
"4665","PRCC"
"4684","PRCC"
"4753","PRCC"
"4762","PRCC"
"4764","PRCC"
"4766","PRCC"
"4773","PRCC"
"4807","PRCC"
"4814","PRCC"
"4817","PRCC"
"4818","PRCC"
"4839","PRCC"
"4843","PRCC"
"4865","PRCC"
"4962","PRCC"
"5019","PRCC"
"5081","PRCC"
"5086","PRCC"
"5131","PRCC"
"5150","PRCC"
"5265","PRCC"
"5274","PRCC"
"5327","PRCC"
"5337","PRCC"
"5348","PRCC"
"5403","PRCC"
"5416","PRCC"
"5533","PRCC"
"5539","PRCC"
"5548","PRCC"
"5555","PRCC"
"5558","PRCC"
"5577","PRCC"
"5623","PRCC"
"5640","PRCC"
"5665","PRCC"
"5688","PRCC"
"5743","PRCC"
"5757","PRCC"
"5783","PRCC"
"5818","PRCC"
"5823","PRCC"
"5829","PRCC"
"5839","PRCC"
"5858","PRCC"
"5869","PRCC"
"5907","PRCC"
"5914","PRCC"
"6001","PRCC"
"6014","PRCC"
"6017","PRCC"
"6049","PRCC"
"6084","PRCC"
"6092","PRCC"
"6108","PRCC"
"6165","PRCC"
"6224","PRCC"
"6233","PRCC"
"6253","PRCC"
"6277","PRCC"
"6283","PRCC"
"6290","PRCC"
"6330","PRCC"
"6332","PRCC"
"6395","PRCC"
"6400","PRCC"
"6435","PRCC"
"6455","PRCC"
"6545","PRCC"
"6549","PRCC"
"6618","PRCC"
"6653","PRCC"
"6668","PRCC"
"6709","PRCC"
"6757","PRCC"
"6820","PRCC"
"6837","PRCC"
"6847","PRCC"
"6850","PRCC"
"6853","PRCC"
"6860","PRCC"
"6867","PRCC"
"6915","PRCC"
"6926","PRCC"
"7061","PRCC"
"7076","PRCC"
"7122","PRCC"
"7245","PRCC"
"7247","PRCC"
"7261","PRCC"
"7391","PRCC"
"7408","PRCC"
"7431","PRCC"
"7506","PRCC"
"7569","PRCC"
"7611","PRCC"
"7627","PRCC"
"7650","PRCC"
"7697","PRCC"
"7794","PRCC"
"7868","PRCC"
"7912","PRCC"
"7930","PRCC"
"7945","PRCC"
"8039","PRCC"
"8101","PRCC"
"8105","PRCC"
"8167","PRCC"
"8176","PRCC"
"8182","PRCC"
"8210","PRCC"
"8230","PRCC"
"8233","PRCC"
"8240","PRCC"
"8249","PRCC"
"8263","PRCC"
"8264","PRCC"
"8379","PRCC"
"8380","PRCC"
"8405","PRCC"
"8416","PRCC"
"8425","PRCC"
"8429","PRCC"
"8456","PRCC"
"8510","PRCC"
"8533","PRCC"
"8548","PRCC"
"8588","PRCC"
"8648","PRCC"
"8653","PRCC"
"8671","PRCC"
"8675","PRCC"
"8694","PRCC"
"8704","PRCC"
"8748","PRCC"
"8774","PRCC"
"8803","PRCC"
"8841","PRCC"
"8884","PRCC"
"8899","PRCC"
"8928","PRCC"
"8943","PRCC"
"8960","PRCC"
"9006","PRCC"
"9029","PRCC"
"9032","PRCC"
"9130","PRCC"
"9132","PRCC"
"9158","PRCC"
"9183","PRCC"
"9190","PRCC"
"9219","PRCC"
"9263","PRCC"
"9305","PRCC"
"9309","PRCC"
"9319","PRCC"
"9332","PRCC"
"9340","PRCC"
"9364","PRCC"
"9370","PRCC"
"9432","PRCC"
"9434","PRCC"
"9472","PRCC"
"9476","PRCC"
"9481","PRCC"
"9562","PRCC"
"9589","PRCC"
"9604","PRCC"
"9624","PRCC"
"9649","PRCC"
"9660","PRCC"
"9663","PRCC"
"9774","PRCC"
"9790","PRCC"
"9838","PRCC"
"9972","PRCC"
"10042","PRCC"
"10059","PRCC"
"10060","PRCC"
"10096","PRCC"
"10100","PRCC"
"10107","PRCC"
"10168","PRCC"
"10192","PRCC"
"10257","PRCC"
"10264","PRCC"
"10275","PRCC"
"10324","PRCC"
"10411","PRCC"
"10425","PRCC"
"10448","PRCC"
"10490","PRCC"
"10492","PRCC"
"10501","PRCC"
"10533","PRCC"
"10574","PRCC"
"10591","PRCC"
"10619","PRCC"
"10623","PRCC"
"10642","PRCC"
"10651","PRCC"
"10709","PRCC"
"10794","PRCC"
"10810","PRCC"
"10823","PRCC"
"10866","PRCC"
"10943","PRCC"
"11028","PRCC"
"11029","PRCC"
"11088","PRCC"
"11130","PRCC"
"11131","PRCC"
"11196","PRCC"
"11239","PRCC"
"11315","PRCC"
"11320","PRCC"
"11347","PRCC"
"11361","PRCC"
"11393","PRCC"
"11428","PRCC"
"11444","PRCC"
"11476","PRCC"
"11491","PRCC"
"11492","PRCC"
"11502","PRCC"
"11532","PRCC"
"11594","PRCC"
"11630","PRCC"
"11632","PRCC"
"11724","PRCC"
"11765","PRCC"
"11781","PRCC"
"11793","PRCC"
"11795","PRCC"
"11803","PRCC"
"11823","PRCC"
"11876","PRCC"
"11881","PRCC"
"11889","PRCC"
"11945","PRCC"
"11986","ccRCC"
"12063","ccRCC"
"12103","ccRCC"
