0_ACTR3B,0_DAXX,0_DUSP7,0_HSD17B3,0_MAP3K8,0_OCLN,0_PSMA5,0_PSMD14,0_RAD51,0_SNRPB2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,1,0,0
1,0,0,1,1,0,0,0,0,0
0,0,1,0,0,1,1,0,0,1
