2_ALDH1A1.216,2_ANKRD28.23243,2_B2M.567,2_B3GALT4.8705,2_BAT3.7917,2_BATF2.116071,2_BCL2L14.79370,2_CHD4.1108,2_CIDEB.27141,2_CLDN23.137075,2_DHRS12.79758,2_EIF2C2.27161,2_FGD3.89846,2_GALNT12.79695,2_GLIS1.148979,2_GLO1.2739,2_GMEB1.10691,2_GPR133.283383,2_GTF2A2.2958,2_HMGXB3.22993,2_ITGA7.3679,2_KRCC1.51315,2_MCHR2.84539,2_MORC4.79710,2_MRO.83876,2_NDUFAF1.51103,2_PIK3IP1.113791,2_PLCG1.5335,2_PLCG2.5336,2_PTBP1.5725,2_PTK2B.2185,2_PTPN18.26469,2_RARRES3.5920,2_RNF125.54941,2_RPS6KL1.83694,2_SLC12A3.6559,2_SQLE.6713,2_SYNCRIP.10492,2_TARDBP.23435,2_TIFAB.497189,2_TMIE.259236,2_TRIM21.6737,2_TSPAN5.10098,2_TSPAN6.7105,2_UBE2O.63893,2_USP24.23358,2_ZNF385A.25946
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
