0_age_at_initial_pathologic_diagnosis,1_hsa.miR.1228.3p,1_hsa.miR.146b.3p,1_hsa.miR.15b.3p,1_hsa.miR.15b.5p,1_hsa.miR.222.5p,2_ABI1.10006,2_ACCN2.41,2_ALS2CR4.65062,2_AMHR2.269,2_ARSD.414,2_BAG1.573,2_C10orf75.90271,2_C11orf2.738,2_CCDC19.25790,2_CCNA2.890,2_CENPL.91687,2_CENPO.79172,2_CEP152.22995,2_COL8A1.1295,2_CSNK1E.1454,2_DNAJB12.54788,2_DUSP10.11221,2_EEF1A1P9.441032,2_EEF1D.1936,2_EFNB1.1947,2_EIF3L.51386,2_FAM190B.54462,2_FHDC1.85462,2_FLJ16779.100192386,2_GALNT14.79623,2_GGTA1.2681,2_GSX2.170825,2_HOXD10.3236,2_IGBP1.3476,2_IGF2BP3.10643,2_IGFBP2.3485,2_IQGAP2.10788,2_KLHL25.64410,2_LOC284276.284276,2_LOC339674.339674,2_MAP1LC3C.440738,2_MBNL3.55796,2_MKX.283078,2_MTAP.4507,2_NOG.9241,2_NR2E1.7101,2_NTNG2.84628,2_PEA15.8682,2_PLA2G6.8398,2_POLR3H.171568,2_PTGFRN.5738,2_RAD18.56852,2_RASL10A.10633,2_RBP1.5947,2_RDM1.201299,2_RGPD5.84220,2_RIPPLY2.134701,2_RNF146.81847,2_RPAP3.79657,2_RPL22.6146,2_RPP30.10556,2_RPRM.56475,2_RPS13.6207,2_RPS23.6228,2_RPS25.6230,2_SERPINA5.5104,2_SF3A1.10291,2_SFRP2.6423,2_SGOL2.151246,2_SHOX2.6474,2_SLC27A3.11000,2_SLC35F5.80255,2_SLITRK5.26050,2_SMARCB1.6598,2_SMOC1.64093,2_SPRY1.10252,2_SULF2.55959,2_TDH.157739,2_TNFRSF11B.4982,2_TNFRSF12A.51330,2_TRIM16L.147166,2_UBXN1.51035,2_ULK4.54986,2_WEE1.7465,2_WISP1.8840,2_ZCCHC24.219654,2_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
