1_hsa.miR.15b.5p,2_ABLIM3.22885,2_ARHGAP11A.9824,2_ARHGAP11B.89839,2_ARMCX2.9823,2_AZU1.566,2_B3GALNT2.148789,2_BCCIP.56647,2_BICD1.636,2_C10orf75.90271,2_C11orf82.220042,2_C22orf27.150291,2_CAMLG.819,2_CBS.875,2_CCDC46.201134,2_CCNB1.891,2_CCNB2.9133,2_CDCA8.55143,2_CENPE.1062,2_CENPF.1063,2_CHEK1.1111,2_CKAP2L.150468,2_CLSPN.63967,2_CMYA5.202333,2_COL4A1.1282,2_COL4A2.1284,2_COL5A2.1290,2_CTBP2.1488,2_CUEDC2.79004,2_DGCR9.25787,2_DSN1.79980,2_E2F7.144455,2_ECT2.1894,2_EIF2AK4.440275,2_EIF3L.51386,2_ESPL1.9700,2_ESX1.80712,2_FABP5.2171,2_FAM109B.150368,2_FAM111A.63901,2_FAM114A1.92689,2_FAM133A.286499,2_FAM19A3.284467,2_GATA5.140628,2_GJC1.10052,2_GLA.2717,2_GPR1.2825,2_GUSB.2990,2_HOXA5.3202,2_HOXA6.3203,2_IGF2BP3.10643,2_IGFBP2.3485,2_IGFBP5.3488,2_KDELC2.143888,2_LOC100132215.100132215,2_LOC219347.219347,2_LRRC27.80313,2_MEST.4232,2_MRPS16.51021,2_NALCN.259232,2_NCRNA00081.92482,2_NCRNA00152.112597,2_NEK8.284086,2_PCDHB1.29930,2_PKD2.5311,2_POLR3H.171568,2_PTRF.284119,2_RAD18.56852,2_RAD54B.25788,2_RAP2A.5911,2_RBL1.5933,2_SDC1.6382,2_SEMA4G.57715,2_SGOL2.151246,2_SLC25A28.81894,2_SLC25A43.203427,2_SLC47A1.55244,2_SMS.6611,2_SRPX2.27286,2_SSTR5.6755,2_STEAP3.55240,2_SULF2.55959,2_TACC3.10460,2_TAGLN2.8407,2_TCEAL2.140597,2_TCF25.22980,2_TFRC.7037,2_TMEM100.55273,2_TMEM154.201799,2_TMEM159.57146,2_TNFRSF11B.4982,2_TNFRSF12A.51330,2_TOR1B.27348,2_TRMT2B.79979,2_TXN2.25828,2_ULK4.54986,2_WDR62.284403,2_ZMYND11.10771,2_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
