1_hsa.miR.107,1_hsa.miR.10b.3p,1_hsa.miR.154.3p,1_hsa.miR.15b.5p,1_hsa.miR.222.5p,1_hsa.miR.412.5p,2_ADD1.118,2_ARSE.415,2_ASB13.79754,2_BCAT1.586,2_C12orf34.84915,2_C13orf27.93081,2_C1QL1.10882,2_C5orf34.375444,2_CCNA2.890,2_CD5.921,2_CDC20B.166979,2_CDC6.990,2_CDCA8.55143,2_CDKN2BAS.100048912,2_CDKN2C.1031,2_CEACAM1.634,2_CHAF1B.8208,2_CHRND.1144,2_CLNS1A.1207,2_COL4A1.1282,2_CRYL1.51084,2_CSNK1E.1454,2_DLL3.10683,2_DOPEY2.9980,2_E2F7.144455,2_EEF1A1P9.441032,2_EFHB.151651,2_EFNB1.1947,2_EIF3L.51386,2_ELK1.2002,2_FAM86B1.85002,2_FBXO17.115290,2_GLUD1.2746,2_GPR1.2825,2_GPR156.165829,2_HILS1.373861,2_HOXC10.3226,2_HOXD10.3236,2_IGFBP5.3488,2_IKBIP.121457,2_IQGAP2.10788,2_KIF23.9493,2_KLRC2.3822,2_KLRC3.3823,2_LAMC1.3915,2_LRRC27.80313,2_LSM2.57819,2_METTL7B.196410,2_MFAP4.4239,2_MKL2.57496,2_MPDU1.9526,2_MRPS16.51021,2_MRPS2.51116,2_NALCN.259232,2_NNMT.4837,2_NOG.9241,2_NTNG2.84628,2_PYCR1.5831,2_RCOR2.283248,2_RHOD.29984,2_RPL37.6167,2_RPL7.6129,2_RPS24.6229,2_SCD5.79966,2_SDC1.6382,2_SLC29A4.222962,2_SOX8.30812,2_SP5.389058,2_SPRY1.10252,2_SRPR.6734,2_ST13.6767,2_STAC.6769,2_STARD10.10809,2_SUFU.51684,2_TAPT1.202018,2_TMEFF2.23671,2_TNFRSF11B.4982,2_TTC26.79989,2_UPF3A.65110,2_UQCRB.7381,2_WEE1.7465,2_XRN2.22803,2_ZC4H2.55906,2_ZNF648.127665,2_ZNF808.388558,2_ZNF816A.125893
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
