gen,evals,gen_feats,explored,type svm balanced accuracy_min,type svm balanced accuracy_avg,type svm balanced accuracy_max,type svm balanced accuracy_std,root leanness_min,root leanness_avg,root leanness_max,root leanness_std
0,500,418,418,0.2,0.8028445892303917,0.9287510778066288,0.15919016257586488,0.14002800840280097,0.27205845980754867,1.0,0.1808675558477396
1,535,636,638,0.2,0.8181454330656563,0.932617554039928,0.12487506406295464,0.13245323570650439,0.2770236226664412,1.0,0.1376063772516907
2,530,675,843,0.2,0.8338658193810166,0.9386870070961144,0.11396122834072751,0.13245323570650439,0.2752118161671297,1.0,0.1367904453496027
3,543,711,1052,0.2,0.8387135734565214,0.9386870070961144,0.11233111378024697,0.13245323570650439,0.2807307064419035,1.0,0.13834916830275684
4,536,706,1229,0.2,0.8479686752321502,0.9386870070961144,0.10513188455515639,0.14002800840280097,0.27959721365589324,1.0,0.13662586891304332
5,555,734,1420,0.2,0.8520305102014284,0.9386870070961144,0.10118184255299842,0.13608276348795434,0.28257735642057386,1.0,0.1369123116703775
6,543,762,1585,0.2,0.8538123149437127,0.9386870070961144,0.09992300922447267,0.14002800840280097,0.287284187614767,1.0,0.13813816060078163
7,542,794,1781,0.2,0.8561820843430273,0.9386870070961144,0.0977839148428767,0.13736056394868904,0.29071389630307587,1.0,0.13740260037858706
8,547,806,1971,0.2,0.8592339039725715,0.9388613533648957,0.09540116091991475,0.14002800840280097,0.29231016200283166,1.0,0.13670435113607998
9,539,796,2128,0.2,0.8629468132363297,0.941177248043752,0.09399346807540852,0.1386750490563073,0.29152617636806677,1.0,0.13728680124190823
10,556,807,2298,0.2,0.8656170976387573,0.941177248043752,0.09288566264072559,0.13608276348795434,0.2919461632880042,1.0,0.1365286298874339
11,548,785,2425,0.2,0.868869719607596,0.9510863629737312,0.09279936270912426,0.13608276348795434,0.29064194500110224,1.0,0.1372010537670894
12,535,832,2565,0.2,0.8711504350263451,0.9510863629737312,0.09138060366990186,0.13736056394868904,0.2918945220560946,1.0,0.13648933805954744
13,540,823,2717,0.2,0.8722376859732515,0.9510863629737312,0.09141917630056523,0.12803687993289598,0.2927250612805483,1.0,0.1361615112600562
14,538,803,2845,0.2,0.8747581535308168,0.9510863629737312,0.0904699194256824,0.12803687993289598,0.29188092879942656,1.0,0.1373219343905319
15,540,822,2967,0.2,0.8802108603232489,0.9510863629737312,0.08804372706105115,0.1270001270001905,0.2842599763559745,1.0,0.13724419263521673
16,541,833,3099,0.2,0.8821270586303955,0.9510863629737312,0.08747862202651388,0.13608276348795434,0.2844156598124201,1.0,0.13714609176584672
17,544,818,3201,0.2,0.8856016704588021,0.9510863629737312,0.08513074255044406,0.13608276348795434,0.2796072430907595,1.0,0.13535147790295507
18,547,827,3302,0.2,0.8844143414340156,0.9510863629737312,0.08796253125617141,0.13608276348795434,0.2829128447186664,1.0,0.13815289933630787
19,555,819,3393,0.2,0.8852668066108267,0.9510863629737312,0.08756977719895509,0.13608276348795434,0.2837349790620457,1.0,0.13800246874732341
20,534,846,3491,0.2,0.8862630808508998,0.9510863629737312,0.08748594631983211,0.13608276348795434,0.28396569668543203,1.0,0.1379963323883767
21,559,816,3583,0.2,0.8879136489866227,0.9510863629737312,0.08708887912229685,0.13608276348795434,0.2831807982668662,1.0,0.1368612756865406
