0_C17orf97,0_CBFA2T3,0_DCAF8,0_EFNB2,0_FBXL4,0_GSPT2,0_HMGB1,0_HPCAL1,0_KCTD16,0_MCM5,0_NNT,0_PLCD3,0_PLCG2,0_SLC30A9,0_STC2,0_TMEM176A,0_TSHZ3,0_UPK1B
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
