gen,evals,gen_feats,explored,expression_subtype random forest balanced accuracy_min,expression_subtype random forest balanced accuracy_avg,expression_subtype random forest balanced accuracy_max,expression_subtype random forest balanced accuracy_std,leanness_min,leanness_avg,leanness_max,leanness_std
0,500,655,655,0.11609881957970489,0.5686986053803641,0.762054016918498,0.13750656932643002,0.0196078431372549,0.08783468052046038,1.0,0.1535633848270015
1,357,1042,1080,0.11609881957970489,0.5831386122411143,0.762054016918498,0.13675673287716433,0.01639344262295082,0.08198337276347671,1.0,0.097794943869329
2,345,1128,1476,0.11609881957970489,0.5975535830910715,0.762054016918498,0.13491400679425433,0.01639344262295082,0.08429951171583511,1.0,0.10118553969755864
3,368,1203,1901,0.11609881957970489,0.6047588997664793,0.7647726829002719,0.13289647013758427,0.015151515151515152,0.08649693371775727,1.0,0.1007763540051098
4,353,1184,2268,0.11609881957970489,0.6139200661909598,0.7778620575910197,0.1334096063456516,0.015151515151515152,0.08773678182757853,1.0,0.1041629252060101
5,356,1199,2636,0.11609881957970489,0.6210177439235979,0.7778620575910197,0.13463796033002098,0.015151515151515152,0.08975627016163866,1.0,0.10731232309170939
6,353,1187,3017,0.13082074236175315,0.6251061902937083,0.7778620575910197,0.13334542442358255,0.015151515151515152,0.09158704999565316,1.0,0.10860088045223644
7,360,1163,3350,0.13082074236175315,0.6315992522499659,0.7778620575910197,0.13246509365400208,0.015151515151515152,0.09138438516895078,1.0,0.10862748566790899
8,369,1185,3695,0.14053287476059403,0.6375724843281809,0.8061118223184739,0.13234645919436638,0.014925373134328358,0.09097904836457185,1.0,0.10883782431381606
9,368,1200,4049,0.14285714285714285,0.641762605468334,0.8061118223184739,0.13079811032949415,0.014925373134328358,0.09130872064686053,1.0,0.10869886746174467
10,372,1176,4364,0.14285714285714285,0.6460374605923003,0.8317812485642998,0.1303374677221896,0.014925373134328358,0.09131059264620248,1.0,0.10864752822542324
11,356,1132,4685,0.14285714285714285,0.6511667416312202,0.8317812485642998,0.13046503626281664,0.014705882352941176,0.09107640409430653,1.0,0.10876486366080731
12,359,1191,5019,0.14285714285714285,0.6584052809401774,0.8317812485642998,0.13062623061931564,0.014705882352941176,0.08986679145740387,1.0,0.10910262275359882
13,370,1194,5320,0.14285714285714285,0.6683440449470441,0.8369629268694246,0.12738221020797674,0.014492753623188406,0.08655770067186944,1.0,0.10704320230262762
14,344,1148,5594,0.14285714285714285,0.6726776713903,0.8467369021872513,0.12826097044604828,0.014492753623188406,0.08636382354991821,1.0,0.10717256896775354
15,343,1134,5869,0.14285714285714285,0.67848405056103,0.8467369021872513,0.1299517583946893,0.0136986301369863,0.08541462869550746,1.0,0.10751194306433476
16,374,1175,6162,0.14285714285714285,0.6819651664283692,0.8467369021872513,0.13038100973166045,0.0136986301369863,0.08549517128810863,1.0,0.10740960590549764
17,361,1150,6457,0.14285714285714285,0.6885611711910872,0.8571268814824266,0.1321822428961047,0.0136986301369863,0.08448502818169967,1.0,0.1078031141153193
18,362,1090,6714,0.14285714285714285,0.6950682382921323,0.8571268814824266,0.12888509145530724,0.0136986301369863,0.08191834262361072,1.0,0.10521146486791869
19,367,1089,6987,0.14285714285714285,0.6999168353120822,0.8571268814824266,0.12999643020983814,0.0136986301369863,0.08109521420256167,1.0,0.10560919760512007
20,336,1059,7242,0.14285714285714285,0.7014850469615603,0.8571268814824266,0.12949489180166712,0.0136986301369863,0.08144525573610556,1.0,0.10545382810180308
21,369,1069,7502,0.14285714285714285,0.7050035868120517,0.8571268814824266,0.13023063634466475,0.013157894736842105,0.08078990023344636,1.0,0.10570068466673904
22,348,1039,7740,0.14285714285714285,0.7071893596092366,0.8571268814824266,0.1302328507265442,0.013157894736842105,0.08074655211504872,1.0,0.10573400719827775
23,354,1043,7961,0.14285714285714285,0.7132991227888116,0.8571268814824266,0.1266265651969666,0.013157894736842105,0.07758211047187283,1.0,0.10302413831259148
24,351,1008,8169,0.14285714285714285,0.7146273655619377,0.8571268814824266,0.1267103619071959,0.013157894736842105,0.0777037480305622,1.0,0.10295352985570803
25,350,1029,8420,0.14285714285714285,0.7149837572146295,0.8571268814824266,0.12646371925119784,0.013157894736842105,0.07829321083760882,1.0,0.10275973154543469
26,360,1058,8640,0.14285714285714285,0.7164423303275806,0.8571268814824266,0.12591449645187072,0.013157894736842105,0.07844144548025693,1.0,0.10267213907177548
27,344,1033,8856,0.14285714285714285,0.7171265183393033,0.8571268814824266,0.1257992708295251,0.013157894736842105,0.07882364206364295,1.0,0.1025331991951976
28,350,1022,9062,0.14285714285714285,0.7193078294220606,0.8571268814824266,0.12582433700169307,0.013157894736842105,0.07859305843538132,1.0,0.10256794025340774
29,362,1049,9250,0.14285714285714285,0.7220853494078942,0.8571268814824266,0.1262584178778152,0.013157894736842105,0.07809996014863416,1.0,0.10272407950696234
30,376,1053,9456,0.14285714285714285,0.7237169896425689,0.8571268814824266,0.12570197266965938,0.013157894736842105,0.07820639491211392,1.0,0.10275477630848714
31,348,1009,9655,0.14285714285714285,0.7245109753433532,0.8571268814824266,0.1255804435645025,0.013157894736842105,0.07858556926572045,1.0,0.10260715167811142
32,354,1028,9836,0.14285714285714285,0.7261088898778921,0.8571268814824266,0.1254764963356697,0.012987012987012988,0.07859760941618063,1.0,0.10262497633687354
33,362,1054,10031,0.14285714285714285,0.7275394581736302,0.8571268814824266,0.12481863683184374,0.012987012987012988,0.07863705163913232,1.0,0.10262581730580082
34,356,1028,10198,0.14285714285714285,0.7299965205985871,0.8571268814824266,0.12456558938552817,0.012987012987012988,0.07809686989095418,1.0,0.10271875702049683
35,350,1019,10368,0.14285714285714285,0.7280356110290729,0.8571268814824266,0.12755973247209867,0.012987012987012988,0.08019340450452728,1.0,0.10384229911616771
36,367,1028,10559,0.14285714285714285,0.7290266279507635,0.8571268814824266,0.12646683270559614,0.012987012987012988,0.08099014571723018,1.0,0.10363978707174669
37,368,1016,10732,0.14285714285714285,0.7311268525874514,0.8571268814824266,0.12880668538324214,0.012987012987012988,0.0810780301164409,1.0,0.10544739970697588
38,352,1020,10893,0.14285714285714285,0.7314773497674456,0.8571268814824266,0.12809474342436952,0.012987012987012988,0.08171261520651242,1.0,0.1053061394778271
39,362,1012,11040,0.14285714285714285,0.7323972189912112,0.8571268814824266,0.12796208280918547,0.012987012987012988,0.08206635449099511,1.0,0.10518627111342983
