inner_cv_SKSurvCox_c-index,inner_cv_root_leanness,train_SKSurvCox_c-index,train_root_leanness
0.9113465881081803,0.20851441405707477,0.9119770002446782,0.20851441405707477
0.9108050462381095,0.21320071635561044,0.9115488133104966,0.21320071635561044
0.9101331768260406,0.22941573387056177,0.9113653046244189,0.22941573387056177
0.907309273110493,0.23570226039551584,0.9068387570344997,0.23570226039551584
0.9065336765514885,0.24253562503633297,0.9025568876926842,0.24253562503633297
0.9049478374893646,0.2581988897471611,0.9033520919990213,0.2581988897471611
0.9009080124293058,0.2672612419124244,0.8965622706141424,0.2672612419124244
0.8963266277907044,0.2773500981126146,0.8905064839735748,0.2773500981126146
0.8952492448163144,0.28867513459481287,0.8889772449229264,0.28867513459481287
0.890999594797471,0.30151134457776363,0.8835331539026181,0.30151134457776363
0.8853022476892933,0.31622776601683794,0.8768045020797651,0.31622776601683794
0.8761489973968146,0.3333333333333333,0.8708710545632493,0.3333333333333333
0.8660800697219044,0.3535533905932738,0.8640812331783705,0.3535533905932738
0.8597355533414698,0.3779644730092272,0.8599217029606068,0.3779644730092272
0.8462685147612955,0.408248290463863,0.8519696598972352,0.408248290463863
0.8337814634683633,0.4472135954999579,0.8316613653046244,0.4472135954999579
0.8137942559049781,0.5,0.812943479324688,0.5
0.7915870591395106,0.5773502691896257,0.7917176413016883,0.5773502691896257
0.708932228403151,0.7071067811865476,0.7085882065084415,0.7071067811865476
0.5,1.0,0.5,1.0
