0_age_at_initial_pathologic_diagnosis,0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.1258,1_hsa.miR.18a.5p,1_hsa.miR.22.5p,1_hsa.miR.296.5p,1_hsa.miR.301b,1_hsa.miR.3065.5p,1_hsa.miR.590.3p,1_hsa.miR.627.5p,2_A2LD1.87769,2_ABLIM1.3983,2_ABTB1.80325,2_ADAM19.8728,2_ADAM21.8747,2_ADD3.120,2_AFTPH.54812,2_AGAP1.116987,2_AGGF1.55109,2_AKAP8L.26993,2_AP1G1.164,2_ARHGAP39.80728,2_ARMS2.387715,2_ARSF.416,2_ASCC3.10973,2_ASCL2.430,2_ATP2B3.492,2_ATP5D.513,2_ATP5L.10632,2_ATP7B.540,2_ATXN1L.342371,2_AUP1.550,2_BARX1.56033,2_BCL2L12.83596,2_BEST1.7439,2_BST2.684,2_BZW2.28969,2_C11orf67.28971,2_C12orf50.160419,2_C14orf135.64430,2_C14orf37.145407,2_C15orf23.90417,2_C16orf80.29105,2_C17orf56.146705,2_C17orf71.55181,2_C1orf115.79762,2_C1orf158.93190,2_C1orf25.81627,2_C1orf77.26097,2_C20orf3.57136,2_C22orf39.128977,2_C3orf66.677779,2_C6orf147.387097,2_C6orf153.88745,2_C6orf186.728464,2_C6orf221.154288,2_C9orf71.169693,2_CA4.762,2_CACNG2.10369,2_CBR3.874,2_CCDC140.151278,2_CCDC28B.79140,2_CCDC85A.114800,2_CCL13.6357,2_CDK11A.728642,2_CDS1.1040,2_CEBPA.1050,2_CFLP1.142913,2_CHAF1A.10036,2_CHEK2.11200,2_CHST11.50515,2_CLEC11A.6320,2_COL11A2.1302,2_COL24A1.255631,2_COL4A3BP.10087,2_CORO6.84940,2_CRYZ.1429,2_CSF3.1440,2_CTNND1.1500,2_CTTNBP2.83992,2_CTTNBP2NL.55917,2_CYP3A7.1551,2_CYSLTR1.10800,2_DDB1.1642,2_DDX25.29118,2_DEFB119.245932,2_DGCR14.8220,2_DIS3L2.129563,2_DONSON.29980,2_DPEP1.1800,2_DPM1.8813,2_DSG2.1829,2_E2F6.1876,2_EAF1.85403,2_ERAS.3266,2_FAM162A.26355,2_FAM73B.84895,2_FBXL6.26233,2_FCHO1.23149,2_FOXA2.3170,2_FOXN2.3344,2_FRMPD2.143162,2_GDF6.392255,2_GLIPR1L2.144321,2_GPX6.257202,2_GTF2E2.2961,2_GTF2H5.404672,2_GTPBP5.26164,2_GUK1.2987,2_H2AFY2.55506,2_HAS1.3036,2_HEATR5B.54497,2_HERC3.8916,2_HHLA2.11148,2_HIST1H2AK.8330,2_HIST1H3D.8351,2_HLF.3131,2_HOXA3.3200,2_HPDL.84842,2_HSCB.150274,2_HSP90AB2P.391634,2_IDI2.91734,2_IER3.8870,2_IGFN1.91156,2_IL23A.51561,2_IMPDH2.3615,2_ITGA1.3672,2_JTB.10899,2_KANK1.23189,2_KCNJ14.3770,2_KCNJ3.3760,2_KIF1A.547,2_KIF4A.24137,2_KIF4B.285643,2_KLHDC4.54758,2_KLK8.11202,2_KLRAQ1.129285,2_KNTC1.9735,2_LIG1.3978,2_LIMCH1.22998,2_LIMK1.3984,2_LIN54.132660,2_LMBR1L.55716,2_LMBRD1.55788,2_LOC100128640.100128640,2_LOC100129726.100129726,2_LOC253724.253724,2_LOC390858.390858,2_LOC643387.643387,2_LRDD.55367,2_LTF.4057,2_LYPD5.284348,2_MAGOH.4116,2_MAML2.84441,2_ME3.10873,2_METRN.79006,2_MGAT5.4249,2_MLLT4.4301,2_MMP1.4312,2_MOAP1.64112,2_MRPL24.79590,2_MRPL53.116540,2_MRPL9.65005,2_MRPS11.64963,2_MSH3.4437,2_MTHFD1.4522,2_MTIF3.219402,2_MUDENG.55745,2_MYL2.4633,2_NBPF7.343505,2_NCKAP1.10787,2_NCRNA00176.284739,2_NDUFB2.4708,2_NFKBIL2.4796,2_NID2.22795,2_NKX2.2.4821,2_NKX2.5.1482,2_NLRP6.171389,2_NMT2.9397,2_NPPB.4879,2_NR3C2.4306,2_NRIP1.8204,2_NT5DC2.64943,2_NUP214.8021,2_ODF3.113746,2_OR51B5.282763,2_PABPC4L.132430,2_PAFAH1B2.5049,2_PANK1.53354,2_PCDHGA12.26025,2_PCSK6.5046,2_PDGFB.5155,2_PDLIM7.9260,2_PDSS2.57107,2_PDZD7.79955,2_PEPD.5184,2_PGD.5226,2_PIPSL.266971,2_PLCH1.23007,2_PLCL2.23228,2_PNPLA5.150379,2_POLDIP2.26073,2_POU6F1.5463,2_PPFIA3.8541,2_PRAF2.11230,2_PRMT7.54496,2_PTGES2.80142,2_PXMP2.5827,2_RAB30.27314,2_RAB3B.5865,2_RAB8A.4218,2_RANGAP1.5905,2_RAPGEF4.11069,2_RBM19.9904,2_RECK.8434,2_RHBDD1.84236,2_RLIM.51132,2_RNF19B.127544,2_RNF20.56254,2_RORA.6095,2_RPL21P44.402176,2_RPL32.6161,2_RRP7B.91695,2_S100A13.6284,2_S100A6.6277,2_S100A7.6278,2_SAA1.6288,2_SAFB.6294,2_SCP2.6342,2_SELP.6403,2_SEMA3G.56920,2_SH2B2.10603,2_SIL1.64374,2_SIM2.6493,2_SLC25A22.79751,2_SLC25A37.51312,2_SLC39A13.91252,2_SLC46A1.113235,2_SLC5A1.6523,2_SNAPC2.6618,2_SNHG12.85028,2_SOS2.6655,2_SPDYE2.441273,2_SPOPL.339745,2_SPPL3.121665,2_SPRED1.161742,2_SQSTM1.8878,2_SRP72.6731,2_STAM2.10254,2_STK35.140901,2_STON1.11037,2_STX4.6810,2_STYX.6815,2_SYPL1.6856,2_SYTL1.84958,2_TARBP2.6895,2_TBL3.10607,2_TMEM104.54868,2_TMEM128.85013,2_TMEM170A.124491,2_TNFAIP8L1.126282,2_TNFRSF12A.51330,2_TPP1.1200,2_TRIM44.54765,2_TRMT5.57570,2_TXNL1.9352,2_UBE2Q1.55585,2_UGT1A10.54575,2_UHMK1.127933,2_UPK3B.80761,2_USP12.219333,2_USP43.124739,2_UXT.8409,2_WDR75.84128,2_WDR85.92715,2_ZDHHC16.84287,2_ZIC5.85416,2_ZMPSTE24.10269,2_ZNF295.49854,2_ZNF354C.30832,2_ZNRD1.30834,2_ZNRF3.84133
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
