0_BCL9L,0_C12orf48,0_C1orf61,0_C6orf97,0_CDR2,0_CENPF,0_CREB3L4,0_EDAR,0_FAT2,0_GCNT7,0_GNAI1,0_GPR141,0_IFI27,0_LEPREL1,0_PLEKHH3,0_PPP2R3A,0_RGMA,0_RRM2,0_SLC25A12,0_TBC1D9,0_TCEAL4,0_ZNF747
1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1
1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1
1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1
1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1
0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1
0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1
0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0
0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0
0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
