gen,evals,gen_feats,explored,type svm balanced accuracy_min,type svm balanced accuracy_avg,type svm balanced accuracy_max,type svm balanced accuracy_std,leanness_min,leanness_avg,leanness_max,leanness_std
0,500,8433,8433,0.24355052268528896,0.6185645561713169,0.7965771855078964,0.11860743337596312,0.0196078431372549,0.08131902715280634,1.0,0.14986725395239625
1,328,4856,8568,0.24355052268528896,0.6153062487319941,0.8108268998729325,0.1441195470127228,0.016666666666666666,0.12175097779974792,1.0,0.18918157179791395
2,322,2994,8691,0.24596774193548387,0.6304671039284151,0.8108268998729325,0.15243236613280156,0.01639344262295082,0.15245638071084236,1.0,0.23772798246992738
3,348,2179,8836,0.24596774193548387,0.6293669528355278,0.8147603869686388,0.17526183720680547,0.014925373134328358,0.20214211071488145,1.0,0.2987274933436627
4,332,1516,8953,0.24596774193548387,0.6032489909344267,0.8192678134776992,0.20298725069455215,0.014492753623188406,0.28454469456384773,1.0,0.37170682594737126
5,319,1033,9074,0.24596774193548387,0.5515647003235418,0.8221628706580816,0.2306124894065155,0.014492753623188406,0.4077658979942086,1.0,0.4299222945141557
6,283,871,9192,0.24596774193548387,0.4341925233046097,0.8461468644221631,0.23738758260495904,0.014084507042253521,0.6473233991972929,1.0,0.4366723285993029
7,282,696,9298,0.24596774193548387,0.26437183799425534,0.8498254156389147,0.09437746991689715,0.015151515151515152,0.9674320232339414,1.0,0.1657431226188079
8,272,490,9411,0.24596774193548387,0.27366887166180826,0.8501564318587095,0.11603353066870013,0.014925373134328358,0.9514920832345571,1.0,0.20170911696272076
9,264,470,9517,0.24596774193548387,0.2749191412798583,0.8501564318587095,0.12063906231668403,0.014925373134328358,0.9502071093418634,1.0,0.20633351614133202
10,268,452,9639,0.24596774193548387,0.2812562546048628,0.8582436386157115,0.13276001684862196,0.014492753623188406,0.9396402678003415,1.0,0.22598104749965342
11,284,489,9744,0.24596774193548387,0.27990433631247935,0.8582436386157115,0.12990358241222935,0.014492753623188406,0.9417529135080899,1.0,0.2216926892146946
12,260,461,9848,0.24596774193548387,0.2814139064185114,0.8582436386157115,0.13355810638085663,0.014492753623188406,0.9397437176788288,1.0,0.22568877090554368
13,261,449,9958,0.24596774193548387,0.2786543069481373,0.8582436386157115,0.12938512510817712,0.014492753623188406,0.9452657442231557,1.0,0.21556865458172264
14,276,478,10080,0.24596774193548387,0.2774492637558596,0.8582436386157115,0.12703836457877676,0.014492753623188406,0.9471300207136658,1.0,0.21206154973226782
15,265,477,10176,0.24596774193548387,0.2753742805736191,0.8582436386157115,0.12316185760568274,0.014492753623188406,0.9508487431676824,1.0,0.20463084898513448
16,276,491,10272,0.24596774193548387,0.27792697622022194,0.8582436386157115,0.12869159706855166,0.014492753623188406,0.9469356996894216,1.0,0.21271606088028422
17,271,461,10356,0.24596774193548387,0.27201981826141747,0.8680086170996573,0.11759297282451693,0.014925373134328358,0.9574173274475981,1.0,0.19200976707563147
18,258,461,10432,0.24596774193548387,0.2776146944506733,0.8680086170996573,0.12916971960094734,0.014925373134328358,0.9486093500870143,1.0,0.20958755006040383
19,267,463,10524,0.24596774193548387,0.27483122443967506,0.8680086170996573,0.12255858577540492,0.014925373134328358,0.9531568656149646,1.0,0.1986657014625291
20,277,471,10610,0.24596774193548387,0.2716860684883237,0.8680086170996573,0.11638752766477976,0.014925373134328358,0.9585889320555759,1.0,0.18712173820520478
21,258,444,10675,0.24596774193548387,0.27264283349884155,0.8680086170996573,0.11807970307163869,0.014925373134328358,0.9571437836642356,1.0,0.1894649790077774
22,258,483,10766,0.24596774193548387,0.27594381800514683,0.8680086170996573,0.12480931787516908,0.014925373134328358,0.951919852040304,1.0,0.19996580169274858
23,262,468,10846,0.24596774193548387,0.2794299740525996,0.8680086170996573,0.1318440741054556,0.014925373134328358,0.9463706456910976,1.0,0.21108870865960289
24,262,455,10916,0.24596774193548387,0.2816404976989035,0.8680086170996573,0.13584482534346046,0.014925373134328358,0.9427896933101453,1.0,0.21765371890446877
25,279,492,11001,0.24596774193548387,0.2758637200884134,0.8727255982317328,0.12448797007814817,0.014705882352941176,0.9523412202146132,1.0,0.19810319913827196
26,290,475,11072,0.24596774193548387,0.2805943769954406,0.8727255982317328,0.13412429221152689,0.014705882352941176,0.9448248800330558,1.0,0.21339035221559116
27,278,458,11137,0.24596774193548387,0.27834890711257765,0.8727255982317328,0.1299497148608626,0.014705882352941176,0.9485617200046783,1.0,0.20605104801023025
28,274,459,11215,0.24596774193548387,0.2785510218791044,0.8727255982317328,0.13079867332515804,0.014705882352941176,0.9484184609619308,1.0,0.206650984590045
29,267,445,11280,0.24596774193548387,0.2785969583880578,0.8727255982317328,0.13100117845776044,0.014705882352941176,0.9484054174836699,1.0,0.20670788889492014
30,272,434,11354,0.24596774193548387,0.27777179901976495,0.8727255982317328,0.12992611914165042,0.014705882352941176,0.9497387508170033,1.0,0.20487818385105055
31,251,411,11420,0.24596774193548387,0.2809372083586935,0.8727255982317328,0.13554068126483645,0.014705882352941176,0.9447911317693842,1.0,0.21358024463939926
32,272,462,11475,0.24596774193548387,0.2762067249682332,0.8727255982317328,0.12788029271193677,0.014705882352941176,0.9524744651027175,1.0,0.20079052713332993
33,251,432,11540,0.24596774193548387,0.27704396108957735,0.8727255982317328,0.1293298102688775,0.014705882352941176,0.9512244651027175,1.0,0.20273803158075038
34,253,450,11586,0.24596774193548387,0.2698460480934534,0.8727255982317328,0.11316271456451904,0.014705882352941176,0.9629577262859786,1.0,0.1753429279203544
35,257,433,11641,0.24596774193548387,0.272240176292832,0.8727255982317328,0.11883123461871051,0.014705882352941176,0.959291059619312,1.0,0.18392419672850074
36,263,463,11705,0.24596774193548387,0.2688860343189075,0.8727255982317328,0.11140460781382935,0.014705882352941176,0.9645053453335978,1.0,0.17231822220575932
37,246,418,11765,0.24596774193548387,0.2712983230291188,0.8727255982317328,0.11726374057365496,0.014705882352941176,0.9608743929526454,1.0,0.18091108423165833
38,263,463,11830,0.24596774193548387,0.27252028809089074,0.8727255982317328,0.12014151984483652,0.014705882352941176,0.9589743929526454,1.0,0.18542257977682827
39,274,475,11895,0.24596774193548387,0.27252028809089074,0.8727255982317328,0.12014151984483652,0.014705882352941176,0.9589743929526454,1.0,0.18542257977682827
40,257,434,11938,0.24596774193548387,0.27252028809089074,0.8727255982317328,0.12014151984483652,0.014705882352941176,0.9589743929526454,1.0,0.18542257977682827
