0_C21orf7,0_CDK18,0_ERG,0_F12,0_GIP,0_IER3,0_ISPD,0_SLC26A7,0_SLC7A9,0_TP53I11,0_TSPAN5,0_VPS18
1,1,1,1,1,0,1,0,0,1,0,1
1,1,1,1,1,0,1,0,0,0,0,1
0,1,1,0,0,1,1,0,1,0,0,1
0,1,1,0,0,0,1,0,1,0,0,1
0,1,1,0,0,0,1,1,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
