0_C1orf43,0_C4A,0_ESM1,0_FOXI1,0_KIF13B,0_LDB2,0_MTERF,0_NPEPL1,0_PRRG1,0_PSKH1,0_SLC5A10,0_TSPAN5
1,1,0,1,0,1,0,1,0,1,0,0
1,1,0,0,1,1,1,0,0,0,0,0
1,1,0,0,0,1,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
