0_ANAPC11,0_C16orf89,0_C17orf89,0_CYYR1,0_DPM2,0_GPR56,0_ILVBL,0_KHK,0_KRT19,0_NRP1,0_OXNAD1,0_POLR2G,0_PTGER3,0_RCAN2,0_SEMA7A,0_SLC6A3,0_TFIP11,0_UNC5CL
1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1
1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1
1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
