0_ANGPTL4,0_C6orf223,0_CPSF1,0_GPC2,0_PRICKLE1,0_PSORS1C1,0_RTBDN,0_STC2,0_TBC1D1,0_TESK2,0_TGFB2,0_TSPAN5,0_UAP1,0_WHSC1L1,0_ZNF652
1,0,1,0,1,0,1,0,0,1,1,1,1,1,1
1,1,1,0,1,0,0,0,0,0,1,1,1,1,1
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0
1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
