0_ANGPT2,0_BSND,0_CIAPIN1,0_DBH,0_DEFB132,0_IGSF9B,0_KITLG,0_KRT73,0_PSG5,0_STC2,0_TSPAN5
1,1,0,1,1,0,1,1,1,0,0
1,1,1,1,0,1,1,0,0,0,0
1,1,0,1,0,1,1,0,0,0,0
1,1,0,1,0,0,1,0,0,0,0
1,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0
