0_APLN,0_ARAF,0_CCDC65,0_SYNGR3,0_TACR1,0_TIMD4,0_TSPAN5,0_VEGFA
1,1,1,1,0,1,0,0
1,0,1,1,1,0,0,0
1,0,1,1,0,0,0,0
0,0,1,0,0,0,0,1
0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0
