0_C11orf46,0_C7orf41,0_C9orf79,0_CLEC6A,0_COPS4,0_DCAF10,0_DEPDC1,0_L1CAM,0_LOC100128977,0_LOC285847,0_MRPL42P5,0_NAV2,0_NBR2,0_OR6C6,0_OR8B2,0_PDHA2,0_PON3,0_RASGRP1,0_SEPT12,0_TMEM31
1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0
1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0
0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
