0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_AAAS.8086,1_ACER2.340485,1_AKAP8L.26993,1_ARFGAP1.55738,1_ARHGAP39.80728,1_AUP1.550,1_BBOX1.8424,1_C12orf32.83695,1_C1orf131.128061,1_C6orf186.728464,1_C7orf43.55262,1_CCNA2.890,1_CDC123.8872,1_CNTD1.124817,1_CPA3.1359,1_CRY2.1408,1_CYBA.1535,1_DCAF11.80344,1_DMRTA1.63951,1_DUSP23.54935,1_DUSP9.1852,1_E4F1.1877,1_EGLN1.54583,1_EML1.2009,1_EXOSC1.51013,1_EXOSC4.54512,1_EYA3.2140,1_F2RL1.2150,1_FKBP8.23770,1_FLOT1.10211,1_GGA1.26088,1_GORAB.92344,1_GRLF1.2909,1_KDSR.2531,1_KIAA0247.9766,1_KLHDC4.54758,1_LIMCH1.22998,1_LOC91450.91450,1_LPP.4026,1_LSM4.25804,1_MC1R.4157,1_MEA1.4201,1_MECP2.4204,1_MNT.4335,1_MPP5.64398,1_MRPL17.63875,1_MRPS12.6183,1_MTERFD1.51001,1_NARF.26502,1_NFIB.4781,1_NFKB1.4790,1_NME4.4833,1_NPAS2.4862,1_OTUD7A.161725,1_PANK1.53354,1_PHB2.11331,1_PLCG2.5336,1_PODXL.5420,1_POLR2G.5436,1_POLR2K.5440,1_PPP4C.5531,1_PTMA.5757,1_PTTG2.10744,1_PURA.5813,1_PYGO2.90780,1_RALB.5899,1_RNF20.56254,1_RPS10.6204,1_SAA1.6288,1_SAV1.60485,1_SIPA1L1.26037,1_SLC10A2.6555,1_SNRPF.6636,1_SPOPL.339745,1_SPTBN1.6711,1_SRRT.51593,1_STRADA.92335,1_TACC1.6867,1_TBCE.6905,1_TIAF1.9220,1_TJP2.9414,1_TMEM200C.645369,1_TMEM27.57393,1_TRAPPC1.58485,1_TSPAN7.7102,1_UBE2I.7329,1_UBR2.23304,1_WIBG.84305,1_ZBTB20.26137,1_ZFYVE26.23503,1_ZIC2.7546,1_ZNF189.7743,1_ZNF407.55628,1_ZNF644.84146
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
