0_age_at_initial_pathologic_diagnosis,0_race_WHITE,1_hsa.miR.124.3p,1_hsa.miR.1306.3p,1_hsa.miR.19a.3p,1_hsa.miR.19b.3p,1_hsa.miR.20a.3p,1_hsa.miR.26a.1.3p,1_hsa.miR.301b,1_hsa.miR.33a.5p,1_hsa.miR.503.3p,1_hsa.miR.744.3p,1_hsa.miR.873.5p,1_hsa.miR.92a.3p,1_hsa.miR.1251.3p,1_hsa.miR.512.3p,1_hsa.miR.520f.3p,2_AAMP.14,2_ABCA1.19,2_ABCC13.150000,2_ABTB1.80325,2_ACAP1.9744,2_ACCN5.51802,2_ACTR8.93973,2_AK2.204,2_ALDH18A1.5832,2_ALDH1A1.216,2_ALDH3B1.221,2_ANKRD16.54522,2_ANKRD28.23243,2_APCDD1L.164284,2_APOBEC3D.140564,2_ARF3.377,2_ARHGAP15.55843,2_ARHGAP4.393,2_ARRB1.408,2_B2M.567,2_B3GALT4.8705,2_BATF2.116071,2_BCL2L14.79370,2_C17orf44.284029,2_C18orf8.29919,2_C19orf66.55337,2_C20orf135.140701,2_C21orf63.59271,2_C22orf41.644186,2_C2CD2.25966,2_C2orf61.285051,2_C6orf127.340204,2_C9orf64.84267,2_CBLN2.147381,2_CCDC64.92558,2_CCL19.6363,2_CD97.976,2_CDK19.23097,2_CEACAM4.1089,2_CEBPE.1053,2_CELA3B.23436,2_CHRNA1.1134,2_CHRNA3.1136,2_CHRND.1144,2_CIDEB.27141,2_CLDN23.137075,2_CMAH.8418,2_CNTN5.53942,2_CPA3.1359,2_CROCC.9696,2_CSPP1.79848,2_CTDP1.9150,2_CTHRC1.115908,2_CXCL10.3627,2_CXorf27.25763,2_CYBA.1535,2_DBNDD2.55861,2_DBP.1628,2_DFFA.1676,2_DHCR24.1718,2_DHRS12.79758,2_DNAJC11.55735,2_DRG2.1819,2_DSE.29940,2_E2F3.1871,2_EIF2C2.27161,2_EIF4G3.8672,2_ELMO1.9844,2_ENPP4.22875,2_F8A1.8263,2_FAM82A2.55177,2_FAM91A1.157769,2_FARP1.10160,2_FGD3.89846,2_FHOD1.29109,2_FLJ10357.55701,2_FMO5.2330,2_FSD1L.83856,2_FUZ.80199,2_GIMAP7.168537,2_GLIS1.148979,2_GLO1.2739,2_GMEB1.10691,2_GOLGA1.2800,2_GPBP1L1.60313,2_GPR132.29933,2_GPR133.283383,2_GPR172A.79581,2_GRIK2.2898,2_GTPBP2.54676,2_GVIN1.387751,2_HDAC2.3066,2_HLA.DOB.3112,2_HMGCR.3156,2_IFIT3.3437,2_IL2RB.3560,2_IPO4.79711,2_IRAK4.51135,2_ITGBL1.9358,2_ITM2B.9445,2_ITPRIPL1.150771,2_KLHL31.401265,2_KPRP.448834,2_KRBA1.84626,2_KRCC1.51315,2_KRT84.3890,2_LAIR1.3903,2_LAMP2.3920,2_LCK.3932,2_LIAS.11019,2_LOC115110.115110,2_LOC145783.145783,2_LOC283999.283999,2_LOC647859.647859,2_LPAR3.23566,2_LRRC33.375387,2_LTA.4049,2_MAK.4117,2_MAP4K1.11184,2_MAP4K4.9448,2_MARVELD3.91862,2_MCHR2.84539,2_MEAF6.64769,2_MEIS3P1.4213,2_MFAP2.4237,2_MFSD2B.388931,2_MMP10.4319,2_MORC4.79710,2_MPPE1.65258,2_MR1.3140,2_MRPL10.124995,2_MTPAP.55149,2_MX2.4600,2_MYL10.93408,2_NCRNA00169.400508,2_NDUFAF1.51103,2_NFKB2.4791,2_NFKBIA.4792,2_NIPSNAP3B.55335,2_NLE1.54475,2_NOP56.10528,2_NR6A1.2649,2_NRG1.3084,2_NRM.11270,2_NUDT13.25961,2_OR10W1.81341,2_OR2W5.441932,2_OTUD3.23252,2_PAK1IP1.55003,2_PARP14.54625,2_PATL2.197135,2_PBXIP1.57326,2_PLCG1.5335,2_PLCG2.5336,2_PLEKHB2.55041,2_PLK4.10733,2_PLS3.5358,2_PPAT.5471,2_PPP1R8.5511,2_PPP3CC.5533,2_PRKDC.5591,2_PSG6.5675,2_PSMB5.5693,2_PTK2B.2185,2_PTPN18.26469,2_PTPRCAP.5790,2_RABGGTB.5876,2_RAD21.5885,2_RARRES3.5920,2_RDBP.7936,2_RDH5.5959,2_RIPK3.11035,2_RP1.6101,2_RPF1.80135,2_RPS15AP10.728963,2_RRAS.6237,2_SAMD9L.219285,2_SBDS.51119,2_SCARNA17.677769,2_SDR42E1.93517,2_SEC11C.90701,2_SERPINE1.5054,2_SF3A3.10946,2_SLC12A2.6558,2_SLC25A14.9016,2_SLC25A28.81894,2_SLC25A5.292,2_SLC2A9.56606,2_SMC2.10592,2_SNAP91.9892,2_SPIN2B.474343,2_SQLE.6713,2_STH.246744,2_SYT16.83851,2_TAPBP.6892,2_TARDBP.23435,2_TCEB3.6924,2_TFDP1.7027,2_TH1L.51497,2_TLR10.81793,2_TMBIM1.64114,2_TMEM150A.129303,2_TMEM176B.28959,2_TMEM39B.55116,2_TMEM8B.51754,2_TMIE.259236,2_TNF.7124,2_TNFSF14.8740,2_TRIM29.23650,2_TRIM41.90933,2_TRIM67.440730,2_TRIM69.140691,2_TRIML1.339976,2_TRIP4.9325,2_TRMT12.55039,2_TSPAN5.10098,2_TSPAN6.7105,2_TUBB.203068,2_UBE2L6.9246,2_UBE2O.63893,2_UBE4B.10277,2_VAMP8.8673,2_VGLL4.9686,2_VILL.50853,2_VSNL1.7447,2_WASF2.10163,2_WDR3.10885,2_WNT5B.81029,2_YBX1.4904,2_ZFP36.7538,2_ZNF557.79230,2_ZNF703.80139
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
