gen,evals,gen_feats,explored,Pam50 naive Bayes balanced accuracy_min,Pam50 naive Bayes balanced accuracy_avg,Pam50 naive Bayes balanced accuracy_max,Pam50 naive Bayes balanced accuracy_std,leanness_min,leanness_avg,leanness_max,leanness_std
0,500,887,887,0.2,0.5945360855442225,0.8600617971166349,0.15345577943460836,0.0196078431372549,0.08987216554332343,1.0,0.15726457536456567
1,367,1063,1137,0.2,0.6371657420377973,0.8645260828309207,0.1551892897221994,0.018867924528301886,0.09006876605965192,1.0,0.10502182045976263
2,400,1107,1388,0.2,0.6567658873981361,0.8715977307176489,0.1585199482262224,0.01694915254237288,0.09988254382567228,1.0,0.11486098134367874
3,383,1058,1632,0.2,0.6917626534951287,0.8762415445936561,0.15080349924099198,0.015873015873015872,0.09437617695530605,1.0,0.11337461597002767
4,371,971,1822,0.2,0.7126901796202536,0.8762415445936561,0.1453204970457558,0.015873015873015872,0.09281798486477368,1.0,0.11113094609678852
5,387,935,2058,0.2,0.7336023693470884,0.8762415445936561,0.13856650622833305,0.015873015873015872,0.0896961443545134,1.0,0.10925580341482218
6,382,930,2291,0.2,0.7460005416542173,0.888388414558443,0.13621555035619726,0.015873015873015872,0.08974301564846883,1.0,0.10918003787469578
7,372,879,2497,0.2,0.758393095891266,0.8967586870005716,0.13413989381106062,0.015873015873015872,0.08868769542309426,1.0,0.10940829862475349
8,382,886,2715,0.2,0.7644704196101987,0.9011068899453314,0.13770129115917365,0.014925373134328358,0.09102687024202848,1.0,0.11216000065826275
9,375,855,2929,0.2,0.774960768756404,0.9033604186023032,0.13236519766748164,0.014925373134328358,0.08997070694840992,1.0,0.10922948449760322
10,369,807,3102,0.2,0.7844919809134294,0.9112737273232072,0.1315752053324176,0.014925373134328358,0.08944057578264011,1.0,0.1095244448868342
11,393,834,3325,0.2,0.7886800805344198,0.9112737273232072,0.1328978233251582,0.014492753623188406,0.09279393731078964,1.0,0.11165340134306356
12,378,810,3525,0.2,0.8023676621040217,0.9112737273232072,0.12804061239936643,0.013157894736842105,0.08842753372016168,1.0,0.10976378052895032
