0_age_at_initial_pathologic_diagnosis,1_ABCA12.26154,1_ARMC9.80210,1_C10orf4.118924,1_CCDC46.201134,1_CCDC8.83987,1_CCNYL1.151195,1_CENPL.91687,1_CWF19L1.55280,1_DNAH11.8701,1_EFNB1.1947,1_EIF3H.8667,1_EMP3.2014,1_EVC2.132884,1_FBXO39.162517,1_FZD6.8323,1_GPR1.2825,1_GPR156.165829,1_HDDC2.51020,1_IQGAP2.10788,1_ISL2.64843,1_KDELC2.143888,1_LATS2.26524,1_LCTL.197021,1_LYPD6.130574,1_MAGEH1.28986,1_NOG.9241,1_OSR2.116039,1_PKD2.5311,1_PRICKLE3.4007,1_PTGFRN.5738,1_RAB42.115273,1_RAD18.56852,1_RDM1.201299,1_RGR.5995,1_RPP30.10556,1_RPS25.6230,1_SHCBP1.79801,1_SULF2.55959,1_TBC1D10A.83874,1_TCF25.22980,1_TEAD3.7005,1_TRMT2B.79979,1_TRPM8.79054,1_WEE1.7465,1_YY2.404281,1_ZDHHC22.283576,1_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
