0_age_at_initial_pathologic_diagnosis,1_ASCC1.51008,1_ATP1A1.476,1_BMP2.650,1_C22orf27.150291,1_CBS.875,1_CLEC18A.348174,1_COL8A1.1295,1_DPY19L1.23333,1_ECT2.1894,1_EFHB.151651,1_EVC.2121,1_FAM19A3.284467,1_FAM35B2.439965,1_FAM45A.404636,1_FAM57B.83723,1_FZD6.8323,1_GALNT13.114805,1_GJC1.10052,1_GLUD2.2747,1_GPR1.2825,1_GPX8.493869,1_HILS1.373861,1_LOC100132215.100132215,1_LOC645752.645752,1_MAGEH1.28986,1_MCM4.4173,1_MEST.4232,1_NSUN7.79730,1_PCDHB1.29930,1_PDIA4.9601,1_PMFBP1.83449,1_PPP2R5A.5525,1_PYGL.5836,1_RDM1.201299,1_RIN1.9610,1_SEMA4G.57715,1_SLC26A2.1836,1_SMS.6611,1_SUFU.51684,1_TCEAL2.140597,1_TMEM131.23505,1_TNFAIP6.7130,1_TRIM8.81603,1_TRMT2B.79979,1_ULK4.54986,1_WEE1.7465,1_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
