0_AGBL4,0_ATP5EP2,0_C11orf74,0_CGNL1,0_CNIH4,0_CTSL3,0_ESR1,0_FOXC1,0_GJC2,0_HILS1,0_ID4,0_MOB2,0_NALCN,0_NECAB1,0_NINJ2,0_PUSL1,0_SUGT1,0_TBC1D9,0_TP63,0_TPX2
1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1
1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1
1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1
1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1
1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1
1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1
0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
