0_age_at_initial_pathologic_diagnosis,1_hsa.miR.1266.5p,1_hsa.miR.15b.5p,1_hsa.miR.25.3p,2_..57714,2_ABI1.10006,2_ALLC.55821,2_AMT.275,2_AP1S3.130340,2_ARSE.415,2_ATP11B.23200,2_C10orf4.118924,2_C17orf96.100170841,2_C22orf27.150291,2_CADM1.23705,2_CASP9.842,2_CBS.875,2_CEP135.9662,2_CLNS1A.1207,2_COL4A3.1285,2_CST2.1470,2_CUL7.9820,2_DGCR6.8214,2_DNAJB12.54788,2_FAM114A1.92689,2_FAM133A.286499,2_FAM159A.348378,2_FAM188A.80013,2_FAM66C.440078,2_FANCA.2175,2_FCHSD2.9873,2_FNDC7.163479,2_GDAP1L1.78997,2_GHITM.27069,2_GPR152.390212,2_GPR156.165829,2_GSTA1.2938,2_HDDC2.51020,2_HGSNAT.138050,2_HIST1H2AK.8330,2_HLCS.3141,2_HPS6.79803,2_IPP.3652,2_IQGAP3.128239,2_KCTD19.146212,2_KHNYN.23351,2_KIAA1826.84437,2_KIF20A.10112,2_LOC100132215.100132215,2_LOC284749.284749,2_LSM1.27257,2_MECP2.4204,2_MOBKL1A.92597,2_MOCS1.4337,2_NACA.4666,2_NBPF9.400818,2_OGDH.4967,2_OR7A5.26659,2_OSR2.116039,2_PI4K2B.55300,2_PLEKHG1.57480,2_PNMA1.9240,2_PPP2R2D.55844,2_PTGFRN.5738,2_RAD18.56852,2_SAP18.10284,2_SERPINA5.5104,2_SH2D4A.63898,2_SNTG2.54221,2_SOX8.30812,2_STX16.8675,2_SULF2.55959,2_TMEM154.201799,2_TXLNA.200081,2_TYMS.7298,2_UBE2R2.54926,2_UNG.7374,2_VEPH1.79674,2_XRN2.22803,2_ZCCHC24.219654,2_ZDHHC22.283576,2_ZDHHC23.254887,2_ZNF648.127665,2_ZNF673.55634
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
