0_age_at_initial_pathologic_diagnosis,1_hsa.miR.10b.5p,1_hsa.miR.146b.3p,1_hsa.miR.148a.5p,1_hsa.miR.15b.5p,1_hsa.miR.222.5p,1_hsa.miR.615.3p,2_ADAM12.8038,2_ADCY3.109,2_ALDOC.230,2_ALS2CR4.65062,2_ANKRD16.54522,2_ANKRD32.84250,2_BEST4.266675,2_C10orf32.119032,2_C10orf4.118924,2_C11orf59.55004,2_C13orf29.283487,2_C6orf58.352999,2_CDKN2BAS.100048912,2_CEACAM1.634,2_CEP55.55165,2_CFH.3075,2_CLIC1.1192,2_CXCL10.3627,2_E2F7.144455,2_EEPD1.80820,2_EFHB.151651,2_ELK1.2002,2_EVC.2121,2_FANCA.2175,2_GATA5.140628,2_GDF15.9518,2_GLA.2717,2_GLT25D2.23127,2_GLUD1.2746,2_GPR139.124274,2_GRHPR.9380,2_GTSE1.51512,2_HILS1.373861,2_HLCS.3141,2_HOXD13.3239,2_IGFBP2.3485,2_IQGAP2.10788,2_KIF23.9493,2_LOC254559.254559,2_MAP1LC3C.440738,2_MAPT.4137,2_MND1.84057,2_NAB2.4665,2_NACAP1.83955,2_NCAPG.64151,2_NDRG2.57447,2_ODF2.4957,2_OTOF.9381,2_PDSS1.23590,2_PPP2R5A.5525,2_PRKG2.5593,2_PSTPIP1.9051,2_PTGFRN.5738,2_RBP3.5949,2_RPL7A.6130,2_SCNN1B.6338,2_SLC26A2.1836,2_SMC4.10051,2_SPAG5.10615,2_SPATA18.132671,2_SPATS2L.26010,2_SRPR.6734,2_SUFU.51684,2_SULF2.55959,2_TADA2B.93624,2_TCF19.6941,2_TFAP2B.7021,2_TMEM87B.84910,2_UGCG.7357,2_ULK4.54986,2_WDHD1.11169,2_WEE1.7465,2_WNT16.51384,2_ZBTB47.92999,2_ZBTB7A.51341,2_ZMYND17.118490,2_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
