0_age_at_initial_pathologic_diagnosis,1_hsa.miR.1228.3p,1_hsa.miR.148a.5p,1_hsa.miR.15b.5p,1_hsa.miR.21.3p,1_hsa.miR.222.5p,1_hsa.miR.23b.5p,1_hsa.miR.3157.3p,1_hsa.miR.335.3p,1_hsa.miR.520e,2_ABHD14A.25864,2_ABLIM3.22885,2_AKR1C3.8644,2_ANGPT2.285,2_APCDD1L.164284,2_ART3.419,2_ATP6V1G2.534,2_BCCIP.56647,2_BICD1.636,2_BNIP3.664,2_BTN2A2.10385,2_C10orf32.119032,2_C6orf48.50854,2_CALD1.800,2_CD101.9398,2_CD97.976,2_CDCA2.157313,2_CNIH4.29097,2_CYP4F11.57834,2_DUSP10.11221,2_ECHS1.1892,2_ECT2.1894,2_ESCO2.157570,2_EVC.2121,2_FAM3C.10447,2_FZD6.8323,2_G6PC.2538,2_GAS5.60674,2_GPR1.2825,2_HFE.3077,2_HILS1.373861,2_HOXA10.3206,2_ISL2.64843,2_ITSN2.50618,2_KIAA0427.9811,2_KIF18A.81930,2_KLF10.7071,2_LAP3.51056,2_LATS2.26524,2_LOC647946.647946,2_LRIT2.340745,2_LRRK2.120892,2_MFAP2.4237,2_MGAT4C.25834,2_MUCL1.118430,2_NPLOC4.55666,2_ODF2.4957,2_PARVB.29780,2_PCDHGA12.26025,2_PGAM1.5223,2_PLA2G2A.5320,2_PLP2.5355,2_POLL.27343,2_PSRC1.84722,2_PUF60.22827,2_RAB18.22931,2_RAB27A.5873,2_RASGEF1C.255426,2_RBP3.5949,2_REPS2.9185,2_RPSA.3921,2_SCMH1.22955,2_SLC25A43.203427,2_SLITRK5.26050,2_SMOC1.64093,2_SSTR5.6755,2_SULF2.55959,2_TMEM131.23505,2_TMEM154.201799,2_TRMT2B.79979,2_UGCG.7357,2_UPF3A.65110,2_UPK2.7379,2_VDAC2.7417,2_WEE1.7465,2_ZAK.51776,2_ZBTB38.253461,2_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
