0_age_at_initial_pathologic_diagnosis,0_race_WHITE,1_hsa.let.7e.3p,1_hsa.miR.101.5p,1_hsa.miR.1197,1_hsa.miR.1277.3p,1_hsa.miR.196b.5p,1_hsa.miR.219a.1.3p,1_hsa.miR.301a.3p,1_hsa.miR.3200.3p,1_hsa.miR.320b,1_hsa.miR.3605.3p,1_hsa.miR.3648,1_hsa.miR.3681.5p,1_hsa.miR.374b.3p,1_hsa.miR.500a.3p,1_hsa.miR.585.3p,1_hsa.miR.7706,1_hsa.miR.873.5p,1_hsa.miR.92a.1.5p,2_ABCD2.225,2_ACSL6.23305,2_ADIPOR1.51094,2_ADRA1A.148,2_AK2.204,2_ALAD.210,2_ALG6.29929,2_ALX4.60529,2_AMMECR1.9949,2_ANKLE1.126549,2_ANKRD33.341405,2_AP2B1.163,2_ATG16L1.55054,2_AUH.549,2_AZI1.22994,2_AZIN1.51582,2_BCL2L14.79370,2_BEST2.54831,2_BPHL.670,2_C10orf128.170371,2_C10orf40.283025,2_C11orf46.120534,2_C12orf61.283416,2_C15orf57.90416,2_C19orf51.352909,2_C1orf130.400746,2_C1orf84.149469,2_C20orf152.140894,2_C3orf21.152002,2_C9orf78.51759,2_CAB39L.81617,2_CASKIN1.57524,2_CBFB.865,2_CCDC115.84317,2_CCDC122.160857,2_CCNB1IP1.57820,2_CCNB2.9133,2_CD44.960,2_CD59.966,2_CDC20.991,2_CDC5L.988,2_CDCA8.55143,2_CECR1.51816,2_CENPF.1063,2_CES4.51716,2_CIR1.9541,2_CLSPN.63967,2_COCH.1690,2_COPS2.9318,2_CRABP1.1381,2_CREB3.10488,2_CTSG.1511,2_DCAF4.26094,2_DCLRE1B.64858,2_DDX31.64794,2_DEDD2.162989,2_DHH.50846,2_DNAJC6.9829,2_DNALI1.7802,2_DOM3Z.1797,2_DPH2.1802,2_EBP.10682,2_EFR3B.22979,2_EIF4G3.8672,2_ENTPD5.957,2_ERGIC3.51614,2_ERO1LB.56605,2_ESD.2098,2_EYA4.2070,2_FAM173A.65990,2_FAM92A1.137392,2_FANCC.2176,2_FARP2.9855,2_FBXL5.26234,2_FBXO33.254170,2_FGFR4.2264,2_FRS3.10817,2_FSD1L.83856,2_FUBP1.8880,2_GABRG3.2567,2_GALK2.2585,2_GALNT12.79695,2_GDF7.151449,2_GEMIN4.50628,2_GIMAP7.168537,2_GPC2.221914,2_GPR3.2827,2_GRAP2.9402,2_GRIN3A.116443,2_GSS.2937,2_HDAC2.3066,2_HIPK4.147746,2_HIST1H3I.8354,2_HMGXB3.22993,2_HN1L.90861,2_HNRNPH1.3187,2_HNRNPK.3190,2_HOXA13.3209,2_HOXA7.3204,2_HOXC6.3223,2_HP1BP3.50809,2_HSD11B1.3290,2_HSDL1.83693,2_HTR1D.3352,2_IFITM3.10410,2_IGFBP7.3490,2_IL28B.282617,2_ITGA7.3679,2_KDELR2.11014,2_KDM1B.221656,2_KIAA1671.85379,2_KIF11.3832,2_KIF2C.11004,2_KLF2.10365,2_KRTAP1.1.81851,2_LCE2C.353140,2_LCE6A.448835,2_LIN7C.55327,2_LIPJ.142910,2_LOC100134259.100134259,2_LOC285548.285548,2_LOC348926.348926,2_LOC388796.388796,2_LOC441208.441208,2_LRGUK.136332,2_LRRC69.100130742,2_LYL1.4066,2_LYPLA2.11313,2_MAGEA3.4102,2_MATN1.4146,2_MCHR2.84539,2_MCM2.4171,2_MEAF6.64769,2_MEIG1.644890,2_MEX3A.92312,2_MFSD6.54842,2_MIIP.60672,2_MITF.4286,2_MORC4.79710,2_MR1.3140,2_MSH2.4436,2_MSTO1.55154,2_MYLK2.85366,2_NAALADL1.10004,2_NETO2.81831,2_NFKBIL2.4796,2_NKD2.85409,2_NLRP1.22861,2_NRM.11270,2_NSUN4.387338,2_OR2M2.391194,2_OR2M3.127062,2_OR2T4.127074,2_OSTalpha.200931,2_PAAF1.80227,2_PAQR4.124222,2_PBOV1.59351,2_PCNA.5111,2_PCOTH.542767,2_PEX11G.92960,2_PIGB.9488,2_PITX2.5308,2_PLCG1.5335,2_PLEKHG4.25894,2_PLOD1.5351,2_PLXNA1.5361,2_POU2AF1.5450,2_PPP1R11.6992,2_PRDM2.7799,2_PRDX4.10549,2_PRUNE2.158471,2_PSIMCT.1.100101490,2_PYHIN1.149628,2_RASL12.51285,2_RBL1.5933,2_RIOK1.83732,2_RIPPLY2.134701,2_RNASEL.6041,2_RNF103.7844,2_RNPEPL1.57140,2_RRP1.8568,2_RWDD2B.10069,2_SCARNA17.677769,2_SCN5A.6331,2_SDR42E1.93517,2_SERP2.387923,2_SERPING1.710,2_SETDB2.83852,2_SFRS13A.10772,2_SFRS1.6426,2_SLAMF1.6504,2_SLC24A3.57419,2_SLC25A20.788,2_SLC38A3.10991,2_SLFNL1.200172,2_SNORD1C.677850,2_SNRPD1.6632,2_SNTB1.6641,2_SOCS6.9306,2_SPACA1.81833,2_SPAG5.10615,2_SRPK1.6732,2_SUPV3L1.6832,2_TACC1.6867,2_TACC2.10579,2_TARDBP.23435,2_TDRD7.23424,2_TFDP3.51270,2_TIMM8A.1678,2_TINAGL1.64129,2_TMEM200A.114801,2_TMEM80.283232,2_TMEM8B.51754,2_TMIE.259236,2_TNFSF13.8741,2_TNNT1.7138,2_TPI1.7167,2_TRIM27.5987,2_TRIM29.23650,2_TXLNA.200081,2_UBIAD1.29914,2_UBTD2.92181,2_UCHL3.7347,2_USP24.23358,2_USP48.84196,2_USP49.25862,2_VASP.7408,2_VRK1.7443,2_WDYHV1.55093,2_XPO5.57510,2_ZBTB7A.51341,2_ZNF318.24149,2_ZNF362.149076,2_ZNF394.84124,2_ZNF436.80818,2_ZNF679.168417,2_ZYG11A.440590,2_ZZZ3.26009
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
