inner_cv_SKSurvCox_c-index,inner_cv_root_leanness,train_SKSurvCox_c-index,train_root_leanness
0.9330079149212321,0.18257418583505536,0.9327134817714705,0.18257418583505536
0.9314930945509797,0.18569533817705186,0.9320406165891852,0.18569533817705186
0.9268398029100968,0.1889822365046136,0.9287986298018106,0.1889822365046136
0.9246909088275176,0.19245008972987526,0.9282481037435772,0.19245008972987526
0.9246372651060537,0.2,0.9243944213359432,0.2
0.9234116976809181,0.21320071635561044,0.9205407389283092,0.21320071635561044
0.9193148753540106,0.21821789023599236,0.9214582823586983,0.21821789023599236
0.9190176253692345,0.22360679774997896,0.9219476388549058,0.22360679774997896
0.9179338784126848,0.24253562503633297,0.910325422069978,0.24253562503633297
0.9141191539357507,0.25,0.9078786395889406,0.25
0.9076620096989858,0.2581988897471611,0.9023733790066063,0.2581988897471611
0.9032161074067245,0.2672612419124244,0.9019451920724247,0.2672612419124244
0.8972843362040147,0.2773500981126146,0.8947883533153903,0.2773500981126146
0.8937904718174031,0.28867513459481287,0.8926474186444825,0.28867513459481287
0.8876319908007585,0.30151134457776363,0.8838390017127478,0.30151134457776363
0.8816392305040447,0.31622776601683794,0.8768656716417911,0.31622776601683794
0.8768646918012887,0.3333333333333333,0.8736236848544164,0.3333333333333333
0.8709240621222928,0.3535533905932738,0.8668950330315635,0.3535533905932738
0.8592918198081817,0.3779644730092272,0.8542941032542207,0.3779644730092272
0.8472625761749416,0.408248290463863,0.8424272082211891,0.408248290463863
0.8245519965015634,0.4472135954999579,0.815879618301933,0.4472135954999579
0.814200147358567,0.5,0.812943479324688,0.5
0.7945492408376863,0.5773502691896257,0.7917176413016883,0.5773502691896257
0.7234784126511903,0.7071067811865476,0.7124418889160754,0.7071067811865476
0.5,1.0,0.5,1.0
