0_age_at_initial_pathologic_diagnosis,0_race_WHITE,1_ACLY.47,1_ADIPOR1.51094,1_AIG1.51390,1_AK7.122481,1_ANKRD33.341405,1_AP2A1.160,1_APOA1BP.128240,1_ARHGEF35.445328,1_BCCIP.56647,1_BSPRY.54836,1_C10orf11.83938,1_C18orf19.125228,1_C20orf152.140894,1_C4orf26.152816,1_C7orf31.136895,1_C9orf140.89958,1_CASC2.255082,1_CCDC76.54482,1_CD6.923,1_CHSY1.22856,1_CSNK2A1.1457,1_DHRS12.79758,1_FBXO24.26261,1_GPR17.2840,1_IDO2.169355,1_JAKMIP1.152789,1_KCNE1.3753,1_KIAA0146.23514,1_LEPRE1.64175,1_LGI4.163175,1_LOC388387.388387,1_LRRC17.10234,1_MCFD2.90411,1_MCHR2.84539,1_MEIS3P1.4213,1_NKAP.79576,1_NMI.9111,1_NPPC.4880,1_NUDT13.25961,1_ONECUT2.9480,1_OR2B11.127623,1_PDE8A.5151,1_PIK3IP1.113791,1_PITX2.5308,1_PPARD.5467,1_RIPK3.11035,1_RNPEPL1.57140,1_SFTA2.389376,1_SH3BGR.6450,1_TCP11.6954,1_TMEM79.84283,1_ZNF556.80032,1_ZNF703.80139,1_ZNF883.169834
1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1
1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1
1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1
1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1
1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1
1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1
1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1
1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0
1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1
